,title,rating,date_of_stay,review,resort_name
0,DO NOT GO HERE,10,May 2023,"Absolutely disgusted. Got off our flight and arrived at the villas, only to be met with the reception being all mouldy and furniture piled up everywhere. The second we walked into the villa we were horrified. The walls were rotting, the couches were both covered in stains. Went to sit on the bed, only to see stains and dirt all over them. The bathroom had a hole in the ceiling which was dripping on the floor, the toilet didn’t flush, the bath was mouldy as well as the shower.

My partner and I went to the reception to complain, who then put us on the phone to the manager who told us there was nothing he could do, and wouldn’t provide us with a refund and wouldn’t provide reason for it. he said that for 2 days we would have to stay in that villa, and then we would be moved to another villa. when we asked if that villa would be well maintained he couldn’t give an answer.

we went back to the villa to figure out what to do, where the staff the changed our sheets, which were replaced with even more dirty sheets. all the staff could say was that the villas are old and run down and there was nothing they could do.

overall, if i could give this zero stars i would. the whole experience was horrible. we ended up leaving after an hour and staying in a much nicer place for much the same price. DO NOT stay here. not at all worth the money, and the photos online DO NOT match what is in person",Bali Rich Luxury Villa
1,DIRTIEST HOTEL IN BALI,10,May 2023,STAY AWAY. Please other reviews this place needs shutting down. Total SCAM. Looks nothing like the photos. Room was disgusting and dirty. So bad we have had to move to another hotel and pay again. Tried to get a refund from the manager but he is behind the whole scam and won't help.,Bali Rich Luxury Villa
2,Nuclear disaster,10,March 2023,"Post apocaliptic experience. Avoid this place its a complete rip off!

Nothing looks like as on the website. Dirty, demolished, pool is full of chemicals.

This place does not comply with health regulations.",Bali Rich Luxury Villa
3,Worst Experience Ever!!!,10,December 2022,"It’s a scam!!!!

Toilet choke, power trip, no water heater, dirty, stained on the bedsheets, crack bathtub,

Water problem and you could just buy the mineral waters to take a shower.
Skip this villa at all cost.",Bali Rich Luxury Villa
4,Worst experience on holiday in 30 years so thank you Agoda and Bali Rich Villas.,10,December 2022,"BALI RICH 'LUXURY' VILLAS IS THE WORST VILLA ON BALI!

Damp mouldy walls. Dangerous wiring exposed to leaking roofs. Filthy toilets. Even filthier kitchen pans.
Tried two villas, bedroom air-cons junk in both. Left at great cost and inconvenience.
Incredibly this remains an Agoda Preferred Property. Agoda has some beautiful photos of the place but the grim reality is much different.
Hundreds of good reviews from 2010 to 2018 - hundreds of dire and scathing reviews from 2018 to present.
After 40+ glorious trips to Bali, Agoda and Bali Rich Villas ruined this and cost me thousands (pounds not rupiah)
Avoid this villa at all costs and don't be fooled by Agoda's preference or photos!",Bali Rich Luxury Villa
5,Absolutely disgusting and filthy villa and disgusting owner,10,November 2022,"Absolutely disgusting. Checked out 30min after checking in. Wires exposed all over the property and I have kids with me. Bed sheets were not replaced by previous guests. Spoke to owner and advised he will change tommrow and wanted me and my kids to sleep in the bed for the kid with stains from other people in it. No covid measures whatsoever. Leaking aircon, tables not wiped, toilets and bathroom filthy. Pool not safe or clean to swim in, broken tiles all around. Entire hotel smells like mould. Told owner I will not stay in the hotel and he couldn’t care less and made no effort to rectify problems. This is not a villa. Photos are at least 20 years old. How TA even allow them to use photos this old is beyond me.",Bali Rich Luxury Villa
6,Great Stay,50,September 2022,"My second stay at Bali Rich Villas, lovely Villas in good accessible location in Seminyak, nice large villa with lovely large private pool,and gardens very friendly helpful staff, great value for money generally excellent only comment bathroom good do with a little TLC bathroom need a little refurbishment but all in all excellent property highly recommend anybody to stay here great location and great value for money",Bali Rich Luxury Villa
7,Disgusting villas. Misleading photos.,10,November 2022,"I was disappointed to find the property is extremely run down and doesn't look like the pictures in your website. Even the lady on reception admitted the photos being used online are old and pre-pandemic.

When I arrived it was raining and there was a crackling electrical wire near a pool of water. Definitely unsafe and made me want to leave immediately. It is infuriating finding out the property uses old photos and then refuses to refund. I offered to stay one night and then leave the next day but the manager was awful.

Initially I was given a villa that was so disgustingly dirty that I asked for a refund. The manager advised I would not get a refund if I left so I didn't want to lose my money. The lovely receptionist offered me a villa change on the 2nd day.

The bathtub was filthy. The toilet seat was so disgusting and took 3 turns to make the toilet flush as there was such little water pressure. The shower was filthy and the pool was dirty.

Dirty terrible towels that are stained and look disgusting. Actual brown stains on the towels!!! The shower sometimes has decent pressure and sometimes is barely usable.

The pool in the villa is dirty, the taste is disgusting, there is mold and broken tiles around the pool.

Inside the villa it looks like it hadn't been cleaned in a long time. The smell is terrible and there are a lot of mosquito's around the room so you end up constantly spraying airfreshener or mosquito spray.

The glassware is dirty. There are limited plates and cups. The bathroom has lots of cigarette butts on the rocky floor. Not that hard to clean up.

There are water leak stains on the ceiling and walls. It really looks disgusting. There is a hole in the bathroom ceiling.",Bali Rich Luxury Villa
8,Disappointing and definitely not a luxury Villa,10,October 2022,"From the moment I arrived at this property I was disappointed. At the time of booking it showed you were able to check in from 2pm only to have to wait 2 hours until the Villa was finally ready. The property is very run down throughout. There lobby roof is very damaged and mouldy. The villa itself is very basic with no real amenities other than a pool and two towels. After spending 4 hours here I ended up leaving and moving to a hotel.

Staff were not polite and very unhelpful.",Bali Rich Luxury Villa
9,Disgusting place,10,October 2022,"honestly the worst place I have ever stayed out in my life, no one really spoke English, there was no pans or any cups or anything for me to cook anything, Staff was laughing at me and money got stolen",Bali Rich Luxury Villa
