,title,rating,date_of_stay,review,resort_name
0,Very enjoyable and relaxing stay at Bhavana Villas,50,March 2023,Fantastic villas with a fantastic pool and a lot of space to enjoy. Staff are very friendly and are very happy to assist where possible. We were even upgraded to a double villa which we were very appreciative of. Highly recommend.,Bhavana Private Villas
1,"The villa is large very secluded and private. ""Wonderful Balinese Staff""",50,February 2023,"The villa has a large garden area and very secluded and private. We really enjoy our time here, the bedroom and bathroom are massive with good airconditioning, the living area is open with natural fresh air. The Villa pool is very private and water is warm from the bali sunshine.

The location is perfect for us because is gives us a quiet enviroment but also close enough to walk the entertainment, restaurants and shopping streets which is just a 8-10 minute walk or 3 minutes in a taxi.

A choice of Alacarte breakfast is served and cooked in your villa every morning by the staff who are just wonderful. Thankyou to everyone at Bhavana who made our stay perfect",Bhavana Private Villas
2,"Good location, Seminyak Village Mall and entertainment within 550m from Bhvanna Villa",50,February 2023,"We enjoyed our wonderful stay at these villas in seminyak. Staff are very helpful and assit with anything we requested, even they will book a Grab taxi using their phones if you ask nicely.
Every night you can order your breakfast with them and they arrange staff to come cook in our villa the next morning at any time we choose.
The Villa pool is just perfect and private we have so much fun enjoy the morning sun on the pool. Locaton is 550m from semiyak village mall and takes about 8min to walk.
the bedroom has beautuful white netting that you can use if concerned about mosquito atvnight but we didnt have any problems at all, everything was great. Also Nirvana Bar with live band on Jl. Kayu Aya, Seminyak, is 550m from Bhavana Villa.",Bhavana Private Villas
3,Big Smiles from friendly staff,50,February 2023,Location is a 10 min walk to Seminyak Square & Seminyak Village mall. Villa is comfortable and very private. Breakfast is prepare daily in the villa by friendly balanise staff who speak good English. Villa pool is a good size at 3 x 9m and 1.6m deep. Water is always warm to swim. Traditional Balinese decor throughout and has comfortable feel. We would definitely stay again,Bhavana Private Villas
4,"100% Private, extremely satisfied, a place where stress doesnt exist",50,February 2023,"This is a excelent villa experience, totally private, villa has its own large private pool and open kitchen facilities.
Decor is 100% Balinese furnishing which really adds to the overall unique experience . Breakfast is served in your villa. Just request a time and staff will come and cook for you inside the villa with total privacy.
Bathroom has open rain showers again with total privacy. Beautiful gardens inside and outside the villa.
The feeling is so unique its like you are living in your own balinese home with all the modern facilities.
I saw many guest here from Australia and european countries. The water in the villa pool is also warm for a very late night or early morning swim. Staff here always smile and say hello every time you pass.",Bhavana Private Villas
5,Best hotel in town and good space for corporate meet,50,May 2022,We booked few rooms for our event was happening also at efcee and during the event services found excellent and food is also good and staff is very cooperative and helpful and location of hotel is on main highway. You will have good view from rooms and restaurant for victoria 23 . We had enjoyed the stay and services. Recommend to all and must stay and enjoy the services from efcee sarovar,Bhavana Private Villas
6,Very Disappointing,20,July 2021,"On paper Bhavana Villas looks great - it has a convenient location, and one and two-bedroom pool villas. It looks modern from the outside and first impressions aren't bad. But after a month here I can't wait to leave. While the staff are truly lovely, there is literally no management present. I'm a big believer in letting hotels fix problems while you're still checked in but I asked to see a manager three times and they never came (I don't think they even come to the property).

Subsequently, housekeeping standards are very lax, and the wear and tear of the hotel is very evident, from cracked tiles and pool stairs, to green pools filled with debris from the garden and the thatched roof, to bat and mouse droppings on the walls and through the kitchens, to kitchen cabinets that are falling apart, power lines that dangle above the outdoor shower, and years of grim that's accumulated on the inside one. The sheets are stained and tired, the wifi is incredibly slow (measured at 10MBps) and due to a lack of fogging, you can't spend much time outside your room at night due to the mosquitoes.

The staff told me that the management had made lots of cut backs and it was very evident - the international channels on the TV have been stopped, the ancient stereo in the villa is nothing more than ornamental, the kitchen tap was incredibly corroded (which they promptly replaced), the sun beds are in tatters, and the AC turns off on a regular basis. I ended up buying my own fan and cleaning supplies just to maintain the space.

I know things are hard at the moment and I know the staff try, but they're mainly trainees who wander around like zombies with a duster in their hands and when they leave, the paths are unswept, the pool still filthy, and the counters covered in what I can only hope is dust. Great location, nice and quiet, and lovely well-intentioned staff (especially Putri and Teddy) but needs some better management and some serious investment, especially as they are still trying to command market prices. This is my upteenth visit to Bali and plenty of other properties are getting it right.",Bhavana Private Villas
7,Holgate,10,February 2020,"Most disgussing filthiest place we
have ever stayed in Bali. 5 minute to clean room no rubbish bags for the bin floor got flooded because the drain was blocked had to wash the floor with disinfectant wipes
pool was green and full of mould could not swim. Left heaps of drinks ut not there brand so made us pay and kept the drinks anyway. Not worth the money it was a dump 50.00 per night would have been too much we paid 200.00 per night. Never again

.",Bhavana Private Villas
8,Relax and unwind,50,February 2020,What a way to chillax...wonderful staff very friendly and helpful ..close to everything you want to see and do..gr8 bars and restaurants at your doorstep...shop till ypu drop...or just relax and swim in your private pool till the early morning...,Bhavana Private Villas
9,Post-cruise treat,40,January 2020,"Our travel agent booked this hotel after we disembarked our cruise in Bali. We didn't know what to expect, never travelled to Indonesia before, but we were overwhelmed by the welcome from the staff here and the good people of Bali who were so friendly. By western standards, the Villa we were in was perhaps a little tired, but this is another world, and any minor imperfections were more than made up for by the service of the staff, the ambience and the private and exclusive experience we had. From the moment we checked in, Siska could not have been more helpful and friendly. We found the Balinese people mirrored her personality - what a pity it is so far from UK that we couldn't do it all over again! To have our breakfast prepared in our villa by charming and highly competant staff each morning was a real treat and to have a pool at the foot of our dining/sitting area was something we will never forget. Taxis are cheap but it's only a 15 minute walk to a wonderful beach.",Bhavana Private Villas
10,Private and exclusive,50,November 2019,"My wife and I visited this hotel for 4 nights during our honeymoon and we where pleasantly surprised. Very kind staff, including Siska at reception made us feel welcome. And the quality of food and private rooms with exclusive pools, meant a perfect chilled-out stay. Cheap taxi’s too the beach which is not dat away...highly recommended!",Bhavana Private Villas
11,Great location to stay,40,August 2019,"We stayed in a one bedroom villa with our own pool.
The villa had all the amenities we needed for a great holiday
Although the weather was a perfect 28 degrees every day the pool in our villa was too cold for swimming. The villas are in a great location and easy walk to everything.",Bhavana Private Villas
12,Best Villa for family,50,May 2019,Great experience for villa stay at very economical price. If you are with family dont forget to carry some games as its only you in the villa. So you need something for activities. Also the swimming pool is deep 5+ feet so you need to ensure carrying right accessories for kids to enjoy the pool.,Bhavana Private Villas
13,VERY DISAPOINTED!!!,10,May 2019,"I am writing to inform you that our stay at Bhavana was very disappointing.
The villas are very tired and run down badly due for a renovation.
There is broken furniture and lamps, the bed was hard and the sheets where discoloured.
The pool was dirty with debris from the roof. Also my friend was entering the pool from the step when it broke away from the edge she was lucky that she wasn't badly cut from the rough edge.
Pool umbrella had holes and also the pool lounge cushions.
Towels where dirty and thread bare and also not replaced or changed every day.
Cleanliness of the villa was very average.
The breakfast we only had once because it was very average and we where worried about the cleanliness of the plates, kitchen etc.
Every morning we woke up to Bat droppings in the kitchen, dining and lounge area
on the floor and over the furniture. DISCUSTING!!!!!
The one driver they had refused to drive us to the restaurant for dinner one night and told us to walk. The restaurant was not in walking distance. Not sure if he was the driver or Security.
The other issue that I think is a very big concern is that we paid for a late checkout before going to the airport they asked that they would only accept CASH not credit card.
They also charged for a bottle of water that we didn't have after we left them our unused alcohol.
I think this is a bit suspicious THAT THEY ASKED FOR CASH.",Bhavana Private Villas
