,title,rating,date_of_stay,review,resort_name
0,Good location and not lacking anything,40,March 2021,"Booked during covid, and paid about USD 6/ night (IDR 90.000). Not lacking anything, the room and bathroom was clean, located near many itinerary, and the famous Warung Cahaya, Sate Babi Bawah Pohon, and gift shop “Agung” is only a few steps away. The service is pretty good, early check in is available (might vary in other day, remember i stayed during covid). There’s a convenient store next door, so you can grab a beer or any neccesities there.",Casa Dasa Boutique Hotel
1,Room full of smoke,20,December 2019,"Well..
This hotel is good actually..
Comfy, but there is no room for non-smoking people (really non smoking room and non smoking around it)
When i was complaint about this to receiptsionist but no respon just said ""i'll check it"" thats it.
As a result, our room is full of smoke..
We barely can't sleep because of it...
Need some improvement.",Casa Dasa Boutique Hotel
2,Could be much better.,20,October 2019,"I stay for 1 month during October. The staffs in general are friendly & helpful. However, the hotel's linens clearly needs to be replaced. Some have black spots all over, which are pretty gross. In addition, their mop often leaves the room smellier than before and their hot water tank is pretty small, so I had to wait for some time before I could have a hot shower. On top of that, for this 1 month alone, I have experienced 2 blackouts, 1 at night and the other one this morning, which each lasted about 30 minutes. All they offered were apologies, no compensation at all. When I suggested that there should be compensation for my inconveniences, the girl at the reception just directly said no. I am no expert, but I have stayed in so many hotels before and have seen better ways of doing business than that. Hopefully they will fix those all soon.",Casa Dasa Boutique Hotel
3,Staff Holiday,40,February 2019,"With the good lady wife and some associates we booked two rooms that were located near to the reception, the rooms were standard clean and comfortable, the staff maintained the cleanliness over the several days we stayed to very good condition.

The facilities were good and communication with staff was very good and able to answer any inquires we had and resolve any issues we had during our travels.

The hotel was centrally located to restaurants and stores with ease off access to other attractions, without being in the tick of Kuta.

Aside from the poorly maintained bikes that we hired from the hotel, the experience and service that was delivered by the staff at Casa Dasa was exceptional, and very happy with the accommodation.",Casa Dasa Boutique Hotel
4,Budget Stay,30,August 2018,Not to expect a Bali wow from Casa Dasa. This Boutique Hotel is situated in busy street and therefore a noisy area. Rooms were not fantastic but acceptable for a few nights stay over and quick shower. Breakfast available but not a great variety at all. Staff friendly.,Casa Dasa Boutique Hotel
5,AVOID AT ALL COSTS!,10,September 2018,"AVOID AT ALL COSTS!

When I first arrived I was taken to a room with 2 single beds even though I booked and paid for a queen size bed. When I informed the member of staff ""Martin"" he didn’t seem to care and said “do you want to see the voucher?” I'm not enitrely sure what he meant by ""voucher"" however this has nothing to do with me as I booked and paid for a queen bed.

After 20 minutes of being on the phone he took me to another room with:
- lights that didn’t work
- hairs all over the bed
- a toilet seat that was completely broken
- walls which were all stained
- what seemed to have been cigarette ash on the window ledge right next to the bed
- insects in the room
- a very pungent horrible smell throughout the room.

When I approached him again and reported these problems along with photos that I took of the room he didn’t seem to care at all, he didn’t apologise and simply said we needed to contact the agency for a refund.

The room and hotel looks nothing at all like the photos and I would strongly advise people to think twice about booking a room here.

A very sad start to a trip in such a beautiful country!",Casa Dasa Boutique Hotel
6,Great accommodation at an exceptional price,40,June 2018,"Nice and clean room, a great selection of tasty breakfasts, a pleasant swimming pool, nice and helpful staff, close to dining options, near food, room with free rental scooter.

Thank you, we were very satisfied :-)",Casa Dasa Boutique Hotel
7,Great value for money!,40,June 2018,"It is our first visit to Bali and I have to say, Casa Dasa did not disappoint. It's a very small hotel which makes the staff extremely personal, they all know when you're in/out of the hotel and are very welcoming. Because of this, I'd say it's perfect for families with kids as it's very secure. The rooms are done out nicely however I wouldn't say they are the cleanest (a few light stains on bed sheets and a big scuff on the wall), having said that, staff do a good job every day doing their best with everyday cleaning and tidying up. Overall, the service of all staff made the hotel for us! Beautiful pool area, and drinks available at the poolside. Staff members picked us up from the airport, very hassle free and also free of charge and then dropped us off in Ubud for a fee of 350,000IDR which was great. Staff are willing to go the extra mile to look after you, in terms of booking the right taxis, sorting any additional requests, etc.
Considering how cheap this hotel was, we were really impressed with the room and service provided. Thank you Casa Dasa!",Casa Dasa Boutique Hotel
8,Average,30,April 2018,"Amenities is very limited, they only provide 2 bottles of water, tea and coffee, 2 bathtowels and toilet paper. The room is clean but the bathroom has a weird smell, like mouldy smell. AC is cold which is good for tropical island like Bali. The main lobby is still under maintenance, so you have to go to the back road for check in. Staff are friendly.",Casa Dasa Boutique Hotel
9,Value for money and lovely staff!,40,February 2017,"We stayed at Casa Dasa in Legian back in February this year. Although a little further back from the beach and touristy-type spots than what we would have liked from our first stay in Bali, we were definitely impressed.

Firstly, the accommodation was really cheap for us – totaling around $110 for 2 people for 3 nights. We had a room on the ground floor right next to the pool area which was great as we weren’t too used to the climate.

The room itself was standard for South-East Asia accommodation. Great air conditioning which was definitely a must while in Bali, the bathroom wasn’t in the greatest condition but that was fine, bottled water was supplied and topped up daily and beds were remade with clean sheets etc. daily also.

Overall, if your wanting to do Bali cheap and aren’t wanting to have the boutique experience the whole time, I would recommend this hotel! When we were staying it was off-peak so some renovations were being done however with this being updated I’m sure it would make for a lovely place to stay.",Casa Dasa Boutique Hotel
