,title,rating,date_of_stay,review
0,Nice holiday,50,April 2023,I love the hotel especially miss Pebri she served us at seminyak kitchen restaurant I love the food at seminyak kitchen restaurant especially the pancakes . And sausages are yummy. I like to stay here. Love to be back again someday.
1,Five ⭐️⭐️⭐️⭐️⭐️,50,April 2023,"Great swim up bar with friendly fun pool staff, thanks Surya,Yudi,Widi and Agus⭐️⭐️⭐️⭐️⭐️. You guys made our time with you so much fun, great fun games of bingo by the pool which we will remember until next time."
2,Courtyard By Marriot Seminyak April 2023.,50,April 2023,"This was the fourth time we have stayed at the Courtyard Seminyak and we still love it. From the moment we checked in we were greeted by the assistant front desk Manager Gede Wahyu Pratama who was so helpful throughout our whole stay. We stayed in a Deluxe Pool View Room with Balcony, which was a good size and cleaned daily. The Breakfasts at the Seminyak Kitchen were definately the best of any hotel we have previously stayed at. the choice of Western and Asian food, the quality of the food and the very helpful staff.
The location of the hotel is great, with many restaurants, Bars and shops on the street just outside the hotel. The Beach is only a 5 minute walk from the hotel. The hotel also has a shuttle service which takes you to Eat Street, Seminyak, the Beach and up to Legian Street. We can't recommend the Courtyard highly enough. Our favourite hotel in Bali.
Will be back again next year."
3,What an awesome Hoter,50,April 2023,"What an awesome Hotel this is, the rooms are g8, the staff really accomodating, the food is excellent, we had a romantic dinner experience while we were there & the two young lads that looked after us on the evening were just amazing, special mention to Gusadi & Trisna who are both just learning the ropes in the hospitality trade & another shout out to Gede, one of the managers who went above & beyond to make sure our stay was a very memorable experience, 10/10 for this one, congrats to all who looked after us"
4,No Personal Touches,30,April 2023,"We stayed here for 6 nights, while honeymooning in Bali. The hotel is ideal for a family holiday but it's not one I would recommend, if you want to celebrate a special occasion like a honeymoon or birthday. The hotel didn't acknowledge our honeymoon, which we were very disappointed by. It's always appreciated when hotels/resorts recognises special occasions, like ours.
No comment was made, when I mentioned to a receptionist that we were on honeymoon....We really just felt like a number here.

We were originally given room 689, which I would not recommend! The view was pretty poor! We were moved to room 614, which has a lovely view overlooking the pool and gardens. The balcony is a lovely spot to do some reading.

Some of the activities that were organised were poor- the bingo was very short.
Aqua aerobics was good fun and a lovely way to start the day.
The hotel is in a great location, only a short walk to the beach. The shuttle bus is very handy too."
5,My best experience to stay and everything was excellent,50,April 2023,"Firts trip to bali we spent two night for honeymoon everything was excellent we are really enjoying.Service was gracious and
Thank you for Mrs Eka_SPA and Mr Bobby_FB for the best service we really happy to stay here"
6,Good with some flaws,40,April 2023,"Everyone has already raved about this place. So, I will point out some flaws, none of which are very very major. The room design is different from that of a standard hotel room. While some might find this a refreshing change, for me it's not very logical. For example, having the bar/drinks-making area away from the bathroom, where one needs to get water. Another thing is the place to put one's luggage juts out into the walking area, and I've injured myself with this several times. Another weakness is the lack of a sauna and steam room, and the gym is far too small, being crowded most of the time, which is a safety concern when working out. Two annoyances that are not the fault of the hotel. One is every day in the evening there is burning of something in the vicinity, thus the smell and smoke comes into the rooms if you open your balcony door. Second is that the hotel guests are mainly families with young children, resulting in chaos, noisy running around, shouting, screaming, crying, banging of doors, all of which are clearly heard inside one's room, even though my room was rather secluded on the top floor away from the lobby. I will not repeat the good things about this hotel said by others but I want to highlight 2 things. One is that I have never seen house keeping being done so well and thouroughly before of a hotel. Second is that staff are quick to solve problems when they are brought up."
7,An A+ to stay while in Seminyak,50,March 2023,"A great place to stay, staff were helpful and accommodating. Room is clean and comfortable. Breakfast was great, a lot of variety where you can choose from. And the dinner I had with my friend at the rooftop was remarkable. Arya and Chinta are amazing. Arya was so intertaining, has a good sense of humor and whom you can easily talk with while waiting for our dinner to be serve. Both on them were approachable and act on time when we need something. Thank you all guys, hoping to be there whenever we will visit bali again."
8,Great stay and amazing location!,50,April 2023,We absolutely loved our stay at Courtyard by Marriott! We loved everything about the hotel. The highlight of our stay was our house keeping attendant Buda! He was the sweetest and most humble man we have ever met! He made us feel so welcome and left lovely towel art surprises and sweet notes everyday! We were very sad to discover that he is only a temporary worker at your hotel… his passion and attitude for his job was incredible! Marriott please hire this man as a permanent staff at your hotel. He is amazing for your guests and will ensure they feel just as special and satisfied as we were. We request that you personally let us know when Buda has been made a permanent staff member at your hotel and we will definitely be back to stay and recommend your hotel to all our family and friends! Thank you Buda and Marriott for having such a great person look after us during our stay 🙏.
9,"The cuisine was delightful, and the service provided by Arista was outstanding. The buffet breakfast was always enjoyabl",50,April 2023,"The cuisine was delightful, and the service provided by Arista was outstanding. The buffet breakfast was always enjoyable, with a wide variety of options to choose from. We will certainly return in the future, as all of the hotel staff were incredibly friendly. Eka at the reception was particularly kind and provided us with 5-star service, which made our stay exceptionally pleasant"
10,Amazing stay! We will be back,50,April 2023,"What a beautiful place!! Cannot fault at all. We have been to Bali many times & this has to be up there as the best accom we have stayed at. The hotel is clean, beautiful and the staff are amazing. The swim up bar was a major plus and it’s in a very central location in Seminyak and right near the beach. We would defs stay again. We had a pool room view. Also the food was amazing!!"
11,Perfect hotel for families,50,April 2023,"Where do I start, this hotel was just the best place to stay in Seminyak, especially with an 8 and 5 year old!

The room was perfect with 2 large queen beds for the 4 of us.

The poolside food was really tasty and selection was great. The pools were the reason we chose this hotel, kids had so much fun! Maybe the hotel could add some floaters for children to use?

Loved the buggy service they offer to go nearby and the staff were super friendly! Room service was super and I loved the chicken noodles I got. Laundry service well priced too, saves going home with dirty clothes!"
12,Highly recommended Courtyard Marriott,50,April 2023,"Had our daughters 18th birthday on rooftop bbq buffet. Chinta organised it all and did a outstanding job, thankyou for making it a special night for all of us. The chefs and writers did a amazing job to.
Highly recommend it 👌"
13,Awesome breakfast spread,50,December 2022,We love to book the villa but they do not allow as I have 3 kids. So we went for the family room. Room is clean and comfortable. Breakfast spread was awesome with lots of variety 👍🏻 a short walk to the beach and many shops & restaurants nearby. There’s a buggy that drive us to the nearby shops. Wish we could stay a few more days to try out the activities and pool.
14,Very Nice!,50,April 2023,"Very good hotel!
Close to the beach, it is a short walk distance or the hotel offers a cart ride too.
The restaurant is very nice, we had a nice dinner there.
Breakfast is the best, a lot of option and fresh food.
We had great time there.
I will recommend this place!"
15,"Gyamfuaa Court, Kumasi",50,March 2023,This is the Best Place in Kumasi when it comes to Luxury and Private living....Everything works. Period. There is absolutely neatness and top notch appliance. It makes Marriott Residence Inns looks like Motel 6 or in comparison. Wonderful work in the curating and artwork and sculptures .....
16,Great hotel in Seminyak with a few caveats that can be improved,40,March 2023,"Courtyard Seminyak is one of my favorite Courtyard hotels. I stayed here for 9 nights and my detailed reviews below.

What’s so nice about this hotel:
1) Location. This hotel is located at the heart of Seminyak area. Which can be a pros and cons depending how you see it. It’s not beachfront but beach is just 5-mins away. It’s in the main street, so traffic noises would be an issue especially if you got the room that facing the main streets.

2) Room. My first 5 nights, I was staying in Deluxe Pool View Room. The room is a bit small, but still decent for a solo/couple. Plenty of space to put stuff. If you travel with family, you may want to consider booking a suite. View from 610 is amazing as you got a whole resort view. My only issue with the room is the lack of hanging rack for drying your clothes.

The last 4 nights, they upgraded me to a suite which is double the size of standard deluxe room. However, the other half is occupied by a living space with decent size dining table and living room. The view from 660 however is not as good from 610.

3) Facilities. Huge swimming pool, swim bar, spa, gym, and poolside beds are available for all guests. They’re pretty decent. The gym is small but maintained pretty well.

4) On-site restaurants and eateries. They’re good but price-wise is a bit expensive. Breakfast has a lot of variety every morning. Great coffee by Tanamera.

5) Services. Top-notch! All associates are very nice and helpful. From the security, front desk, housekeeping, Seminyak Kitchen, they are very lovely and consistent. Definitely feel like a 5-stars resort.

Now what not so good and needs to be improved:

1) While they have a lot of F&Bs variety, I think the taste is hit and miss. For example, the meatball soup and fish soup, why it has so much oil? I can’t really taste the broth. It’s just too oily. The beef bulgogi also a miss. The beef is too thick and too chewy.

2) The F&B promotions also inconsistent and unclear. Sometimes elite member discounts were given, sometimes were not.

3) Housekeeping, please stop turning on all the lights after cleaning up the room. It’s such a waste of energy and very opposite with sustainability mission from Marriott.

4) Nyepi day activities didn’t align with the meaning of Nyepi day spirit. Beer pong? Bingo? Really? I understand hotel guests ate exempted but I really wish the hotel management could’ve done a better job at keeping the noise and light level down to respect with the locals. Whoever organized those type of activities during Nyepi day should be ashamed. It’s both disrespectful and disgraceful. Please for the <3 of God, do better!

Looking forward to stay again and hopefully the hotel management able to improve things that I mentioned."
17,I'd score 100 stars I'd I could. Truly amazing stay!,50,March 2023,"Absolutely amazing service from every person we have come across. We are currently staying in room 622 and its in the perfect spot. Overlooking the garden and pools areas. The room is a good size and the bathroom is also very large. The housekeeping staff do a wonderful job of keeping the room spotless. Everything we could possibly need has been provided. Every staff member we have encountered from every department has been so cheery and so polite. They've even made efforts to get to know our names. We've never told them, they made efforts to find out themselves. We arrived the day before the nyepi celebration, or silent day as some call it and the staff made huge efforts to ensure the guests were happy and comfortable and that we were impacted as little as possible by not being allowed to leave the hotel, it was honestly nice to just spend the day around the pool and relaxing so we didn't mind at all. We are here on a bed and breakfast basis and the breakfast is wonderful. There is fruit, cereal, bagel, juices, omelette as well as the usual bacon etc. There is also more traditional Indonesian items on offer. You can even get waffles and ice cream! We have had and evening meal here and it was delicious, so much so we have booked the romantic dinner under the stars on the roof for this evening. The prices for the standard of food are actually really good. Around what we would pay for pub grub at home but with the standards of a high end restaurant. The hotel is clean, well kept and of a very high standard but the true value is in the staff. They really do go above and beyond to make sure we are having a good time and have everything we could need. Every single one is a credit to the marriot brand. We've stayed in beautiful hotels all over the world, and this is by far the best service we've ever had. I honestly would give 100 stars if it was possible. The service has been flawless, we honestly feel valued as guests and so very welcome. The beach area is super too, with complementary water and towels, also very good free wifi. Thats where i am as i write this review. We still have another 9 days to go yet and I'm already planning when we can come back 5* 😘"
18,Amazing !,50,March 2023,"I never expected such a high quality of service. And the food was absolutely perfect. Wow guys
We did a gender celebration and the team of the hotel created for us the best experience I could imagine .thank you !!!

Special gratitude to Chinta and The FB team 🙏🏻"
19,Mind the attitude of your pool side bar waitress.,40,March 2023,"All ok except the attitude of the pool side bar waitress name wahyu. Ruining the whole stay. The least you can expect from any hotel should be hospitality and manners from their staffs.
Im surprised this hotel has a staff with behaviour like that. They should be trained on how to handle their customers with descent level of politeness, at the very least."
20,Courtyard Marriott Seminyak,50,February 2023,"I cannot rate my stay here high enough! Right from the start, the staff were friendly, welcoming and couldn’t do enough for you. The rooms are spotless, modern and extremely comfortable.
There was a golf buggy to take you to the beach and back again if needed but ample space around the beautiful pool to chill and relax.
The breakfast here was also incredible! One of the best I’ve ever had. So much to choose from and all homemade, fresh and absolutely delicious! The chocolate and banana granola was to die for!
I can honestly say as a very experienced travelled, I had the perfect stay here and would certainly recommend it to anyone who’s thinking about going to Bali! Incredible! Thank you!"
21,專業和重視萬豪會員的一流飯店,50,March 2023,"無可挑剔的住宿經驗，喜歡上這充滿陽光歡樂氣息的飯店。服務人員的友善和專業服務態度，房間的安排，都令人倍受寵愛。Not easy to say NO to this hotel, a wonderful size big pool, nice room, great service, was a best choice that I made during my last trip to Bali, and sure to go back again. Thank you so much for their great service and warm hospitality, especially to Alfi Yukti, Eka...etc. 下次去峇里島，這將是我首選的一間飯店。"
22,Not value for money,30,March 2023,"The hotel's location is convenient, being in close proximity to the beach and other popular areas. However, the room had a strong mildew odor, which unfortunately seems to be a common issue in warmer climates. Given the price of $800 AUD for a three-night stay in a twin pool access room, I was expecting higher quality accommodations. The distance between the room and lobby was quite far, and the toilet paper provided was of poor quality, with no bidet or hose as I have encountered in other hotels in the area. The pool was always crowded, making it difficult to enjoy. On a positive note, the service provided by the staff was good, and they were quite friendly. The bed was comfortable, and the air conditioning was effective. The breakfast offered was average, although quite busy. Overall, I don't believe this hotel is worth the money and wouldn't choose to stay here again."
23,Nothing I can complain about. Just a perfect stay,50,March 2023,"I don’t know were to start. This hotel is amazing because of one simple thing: the staff!! But besides that everthing is clean, the pool is amazing, the ping pong table with Yudi (activity guy) is super, the service in restaurant and inroom dining are high standard. I could go on for hours. We loved out stay at this hotel and will come for sure!

Cheers, Dennis"
24,Friends visit march 2023,50,March 2023,Had the best time 5 friends in their 60’s plus. Had a ball all the staff were fantastic Maria from the kitchen was excellent 👍 All the guys from the pool aerobics were fun and entertaining loved our stay would definitely recommend to stay and will come back again for sure 👍😜
