,title,rating,date_of_stay,review,resort_name
0,A Wonderful Experience,50,April 2023,"Kanishka provided us with the ideal holiday in Bali! It is centrally located in Seminyak. Just walk out the door and there are all the shops, restaurants and facilities.
The rooms are beautifully decorated and very clean. Our room came with a private pool. The staff are friendly and helpful. We highly recommend Kanishka!",Kanishka Villas
1,Great stay at Kanishka Villas. Will be back again!,50,April 2023,"Great villa to stay at. Very close to things to do and places to dine. Had a wonderful time exploring the area and meeting people. Found accommodations to be first rate
and room to be immaculate. Staff very helpful and friendly. Enjoyed stay so much, am
extending visit to stay at Gending Kedis to enjoy Bali longer.",Kanishka Villas
2,"Golfing plus, holiday",40,April 2023,"On on our previous golfing holiday with mates, we decided to finish off the trip staying in the 'fun' area of Bali, we had a couple of nights at the Kanishka Villas in Seminyak.
A wonderful place.. really clean, comfortable and convenient location.
Close to some good shopping, restaurants and not far from several enjoyable and active night spots.
Many of the Villas have a small, private indoor pool.
Well appointed rooms with Balinese arts, very polite, helpful staff who certainly made you feel at home.
Great value, and we would definitely recommend.",Kanishka Villas
3,Kanishka villa,10,April 2023,"Our stay was for 3 nights, it was a horrible and uncomfortable stay. Service was horrible. The worst staff. Upon checking in and checking out the housekeeping werent helpful with luggage and everything else. The villa was very dirty and not at all maintained. The pool was dirty, all ac was very hot, water from shower was very small, wc was dirty, most of the bulb lamps were off, safe deposit box in rooms were always getting jammed and had to be reset, sofa was old, Upon cleaning, the housekeeping didn’t clear the rubbish bin for 2 days until we had to remind them. At nite, we could hear a lady crying and a man shouting from the next door villa, therefore, walls are very thin and very disturbing. Parking was available infront of each villa, but sadly another car took our space and when we requested and alerted the reception and security that we wanted to park our car, they were rude, not helpful and said that it’s ok, just park far. In the end, we had to park 6 villlas away. Overall, I would rate our stay 2/10. Across kanishka, same lane, there is another villa called Minggu villas. The owner, the staff, the manager and the villa was all up to mark. I would recommend that.",Kanishka Villas
4,DO NOT STAY HERE!!!,10,February 2023,Do not stay here. the place was filthy dirty. Bathrobe had excrement stains. blood on the mattress topper. Damp and mold in every room. Moss everywhere in the garden area. Broken decking. The chopping board was disgusting dirty.,Kanishka Villas
5,Family holiday 5D4N. Both good and bad about this hotel,30,January 2023,"Everything you see on photo is true but actual are much aged.

Design are great but everything feels like a 50yrs old grandma.

From sofa to kitchen to bathrooms with stained toilet bowls and rusty taps, everything else are ok.

In fact the best part of this villa is its private pool but the pool is not kids friendly as it is about 1.3m deep and good for adults mainly. If your young kid swims have to prepare floats.

I took a 2 bedroom villa and the layout is great, pity that everything feels so worn and old and stained. If not this villa I would highly recommend.

Rating,

Location 8/10
Villa design 9/10
Condition of villa 5/10
Service 9/10

There are no mini bar, no resturant on site as only room service provides.

Have room service spa but I have not tried.

Not a modern traveller villa as not enough power points for now modern traveller's that have to charge multiple devices.
My tour agency booked this for me and at less than usd 300/ night for a 2 bedroom villa it's ok.

Overall,
if you are a budget traveller that needs 2 bedrooms and can live with old furniture and equipments in a resort,this villa is good.

If you are a modern traveller that except clean rooms and have high standards for resorts, better consider abit more.

I would still recommend this resort if you like rusty and more authentic villa holiday experience for a low price.",Kanishka Villas
6,Great place to stay in Seminyak,40,October 2022,"We booked this villa due to its great location, which is near several shopping centers and beaches we wanted to check out.
The villa did not disappoint, it has several amenities, including a microwave, a water cooler a coffee machine, a toaster a stove, and a big refrigerator. It also has cutlery’s that get cleaned by the house cleaning crew everyday.
staff were very helpful and cooperative.
The only thing I think that could be improved is the cleanliness of the pillows.
I also wish that they put a railing to the sides of the pool so people don't fall down when walking without paying attention.
In essence: it's a wonderful place to stay, with multiple great places to check out nearby, and good services.",Kanishka Villas
7,Bad experience,10,October 2022,Very bad experience. We are in honeymoon and the bed sheets were dirty and air conditioning is not working good for the room and electricity cut 2 or 3 times at night so the problem they don’t take seriously so we got same problems every day. I don’t recommend for couples or honeymooners,Kanishka Villas
8,Nice & Good Villa,50,August 2022,"My first time visit here, and everything well done, all superb, they prepare everything , clean room, good jetted tub
They always clean room everyday, and every noon they prepare everything like spray insecticide and put some insecticide coil at the back yard to avoid mosquitos
Strategic location, but not noisy at night , Like it so much
I will back here again when I go to Bali",Kanishka Villas
9,This is the beginning of either a sad or happy tale,10,August 2022,"A dear friend of mine is sadly dying with a terminal illness. The end will come soon but in an amazing act of strength he wanted to return to his beloved Bali for one final holiday. I agreed to join him and to relive old memories we decided to stay at Kanishka Villas in Seminyak. My friend made the initial booking via Agoda however for reasons he can not explain, that booking was duplicated from one to two villas for identical dates. When he realised the error (some 72 hours later and more than a month before the scheduled stay he contacted Agoda to advise of the issue and seek a refund of the duplicated booking value. Agoda said they were unable to assist since Kanishka had the funds. Now we are here and Kanishka are saying they are unable to assist. There is no reasonable excuse that between them these two organizations can not find away to correct this situation. Ample notice was provided to Agoda and Kanishka is not booked out, although had the relationship between booking agent and facility been closer this also would not be a reasonable excuse. He has been trying to contact the Sales and Marketing Department of Kanishka who are apparently empowered to resolve this matter however the phone number provided by staff at the Villas does not answer ..... This review will be updated as the matter comes to a conclusion as will my report on the Kanishka Villas",Kanishka Villas
10,pandemic takes a toll,10,January 2022,"This was my second time visit, the first one is pre pandemic I would rated 5/5. But sorry for this time I rated 1/5. When we arrived, we booked room with private jacuzzi, the room was not clean enough, the carpet is old. I didnt expect this when we arrived. The jacuzzi then has trouble, so we request for changing the room; which I spent the night on my first time. The room was so dusty, the jacuzzi is dirty, and also has trouble, there was dead milipede in bathroom shower and the room is so hot: 30 deg c (I have a room temperature) I was afraid my son couldnt sleep with such hot room.

And at night we were sleeping around 9-10am, And I was wide awake around 1am, I could hear a strange sound outside room, like there were someone outside, the sound was like knocking on the door and sound of tree leaves, but somehow it was so noisy I couldnt sleep until pass 2am and I was crying because I was afraid. Then my husband woke up too and said he could hear someone knocking.

It seems the pandemic take a toll on this villa, I have feeling the villa was empty for quite sometime. Then we check out the next day even we booked for 2 nights.",Kanishka Villas
