,title,rating,date_of_stay,review,resort_name
0,DONT LISTEN TO BAD REVIEWS THIS PLACE WAS GREAT !,40,March 2023,"Firstly - this place is no where near what these reviews are making out !!

We was on the 6th floor. Our internet was perfect. Our rooms were cleaned daily and restocked with rest towels and water etc.

We was next to the construction site and man do these men work some mental ours ! We was awake by 6am and 9pm they would finish. This is unavoidable and not the fault of the hotel.

Staff were lovely and the breakfast was just great 😊

I agree this hotel is a bit of a walk from the main location of Seminyak BUT the hotel will happily call you a bluebird taxi if needed

Pool was beautiful but more beds are needed for busier periods. Spa was great we had a great massage from Dewi 😍

I have to give it we felt looked after for the whole 2 weeks we spent there",Paragon Hotel Seminyak
1,Too noisy and staff are grumpy as hell.,10,December 2022,"First room had wet sheets and overlooked the construction site - this can’t be avoided but it’s very loud! Moved rooms and the second room was also very loud from parties in other buildings. Not a good experience at all. Staff are moody, I wouldn’t stay here again. Depends if you don’t care about service or noise then it’s good for a cheapy night sleep",Paragon Hotel Seminyak
2,Not sure…,30,November 2022,"Hotel staff were friendly and helpful, but I certainly would not stay here again.

Room was very basic and worn. The bed was comfy however the bedsheets didn’t seem so clean, stains on the curtains and the balcony was extremely rusty with no table or chairs.

Breakfast was OK - would have liked to see more variety other than noodles everyday.

The hotel is located quite far out from the main bars/restaurants. Walkable but far, getting a taxi isn’t the best either as the traffic build up around Seminyak is ridiculous and takes double the time of walking.

Not sure if this is a 4 star worthy hotel, there’s certainly room for improvement.",Paragon Hotel Seminyak
3,Tried to cheating us,20,November 2022,"Let's start with the fact that they wanted to put us in a moldy room with a stink that absolutely did not match the photos. I had to deal with this and pay extra for another better room, because we no longer wanted to move with suitcases. Cleaning comes early in the morning and wakes us up every time. For a week of stay, they did not change our linen. Dirty towels are provided in return. Messed up with breakfast, almost had to pay again. But the breakfasts bad. We were later abandoned one. In neighboring cafes, you could eat much tastier for the same amount. In general, the staff is friendly, but the initial impression spoiled everything when they wanted to deceive us into a terrible room. I would give 2/10 for this cheating greeting. But objectively 5/10. I advise you to look for something else.",Paragon Hotel Seminyak
4,Decent and affordable,40,October 2022,"At first it didn’t start very well. Our room was not very clean, and the standard was not optimal. But after talking to the manager, he moved us to another room - which was bigger and clean. He was very nice and tried his best to help us. The hotel is close to the beach (and a more quiet side of the beach). The hotel was also very kind to let us store some luggage when we were away for four days.

Some things you should know as well:
The breakfast offers pretty poor options
It’s in a street were not much is happening

Good price, though!",Paragon Hotel Seminyak
5,Horrible,10,September 2022,My worst stay in a hotell ever. Sound from elevator disturps your sleep. The picture in the homepage and reality is very different. No service. No working Wi-Fi in the room. Big construction next to the hotel was going on during the nights. Horrible music during the breakfast. Could take up to 1 h to get a pooltovel. We have to ask for more toiletpaper almost every day. Dont stay here!,Paragon Hotel Seminyak
6,Worst service and attitude,10,September 2022,"Stayed here for 5 days, had the worst experience, the house keeping knocked at 7 in the morning, the staff especially the receptionist was NOT friendly at all, we bought food gojek and tried to deliver it to my room bcs my ankle hurts while going down a hill earlier that day and they REFUSE to let the gojek in (keep in mind their rooms are so far back) they kept
Saying that they can only deliver the food to our room if we ordered room service (which we were suppose to) but the only have sandwich for dinner menu like wtf!? I dont wanna eat sandwich for dinner. Rang the room service and receptionist it took them 15 minutes to pickup

They are freaking liars, saying that there are only 1 person in the reception thats why they cant assist us, but when i went dowm, there are 3 of them sitting there on their phones.

Not to mention i lost a package that i delivered to the hotel. The courrier said the reception recieved it but they dont seem to have my package.. so yea, worst hotel in bali wouldnt recommend",Paragon Hotel Seminyak
7,Bad experience,10,June 2022,"The room not clean and the bed cover i think after some body stay before not changed . Their was stain and hairs

Also the breakfast was bad ,

It' different from my thought saw from the picture , the buildimg mot well maintained .. And most of the staff not friendly and well trained",Paragon Hotel Seminyak
8,Need revitalization,20,June 2022,"Room quality is the bane of the show here, horrible bedding quality, its dirty with stains all over it. The blanket doesnt even cover 2 person. The soap run out mid-shower, and the towel rack is just a touch away from falling down.

The breakfast is mediocre but its to be expected on the price range

The front desk staff isnt even greeting me when i came in, and certainly didn't say a word when i hand over my keycard back.

You guys gotta revitalize the rooms, and check your staff's quality as well.",Paragon Hotel Seminyak
9,Paragon Hotel Seminyak.,40,January 2020,"Actually nice hotel with nice view at the nice place. All hotels staff are friendly. Specially Ms. Padma as Sales.
Breakfast is good, but not much variety.
The hotels need some re touch for more enjoyable.",Paragon Hotel Seminyak
10,Dirty rooms - awful breakfast,10,January 2020,"This hotel had 4 stars when we searched on hotels.com this must be a joke.

Dirty rooms, stained grey out washed towels. Dirty bathrooms, lot of stains in the white walls. Some of the furnitures are really warned out. Had to ask for them to change the linen straight away cause I was bitten by something when I took a nap.

The breakfast is horrendous. If you’re from a western country you can’t find anything decent to eat (or doesn’t taste like plastic)

They play Xmas music but in an electronic version even though it’s the 2nd of Jan.

The staff are many but have a total lack of empowerment. Clearly lack of management.

All in all - don’t book this hotel and hope this review help you to find somewhere else to stay in Seminyak.",Paragon Hotel Seminyak
11,Nice hotel at reasonable price.,40,November 2019,Good rooms with your own balcony. Great pool also in need of some tile replacement. Not a huge selection of healthy foods at breakfast. Area is kept tidy and clean. Staff are friendly and always keen to help.,Paragon Hotel Seminyak
12,Be very cautious,10,November 2019,"Myself and my husband have just returned from a ten night stay at this hotel and to be honest I can't think of anything positive to say. The biggest word of advice we could give anyone is to be extremely wary before booking as this hotel is nothing like the pictures. Upon arriving at the hotel, we checked in as normal and were shown to our room, it was dark and dingy with an OUTDOOR bathroom. Covered with a glass ceiling and an uncovered external wall.
This of course meant lots of mould had built up around the shower area.
We decided to ask for another room and after a long conversation with the manager he agreed to move us upstairs to a room with a balcony (which we had already paid for with our travel agent) nothing was mentioned about a upgrade fee at this point so we continued our holiday as normal. However on day 8 of our holiday our room’s air con had stopped working; upon going to the reception to sort it out the member of staff there was extremely rude. He basically ignored our comments regarding the air con and started talking about payments for the room upgrade. We asked to speak to a manager (the same one who dealt with us at check in) and he pretty much denied knowing the situation. We made it very clear to the him that we knew out rights and upon hearing this he backed down. We honestly felt like they were just trying to scam us which was so disappointing. It spoilt the last 2 days of our holiday and it meant that we felt we needed to carry our documents with us at all times in case they tried anything else.
I should also mention that the drainage smell was terrible and the breakfast was pretty much a hot asian buffet so if that's not for you, it's a waste of money.
Oh and our balcony doors lock was rusty too !",Paragon Hotel Seminyak
