,title,rating,date_of_stay,review,resort_name
0,"Great hotel, great location.",40,April 2023,"Spent a week here after 4 days in the country. Great hotel, check in was really quick. Very very spacious reception and a nice cool drink on arrival. We were given a room on the ground floor but I asked if we could have one on the first floor and they sorted this out immediately. The room was lovely, very clean and the bathroom was great, nice size and quite modern. Only thing is don’t rely on the hairdryer that they provide, not powerful at all. I had bad hair for the whole week but wasn’t bothered in the slightest.
The outside corridor going to our room was in need of a kick of paint. Breakfast was ok, choice of Balinese and English. Bacon was probably the worst we have ever had on holiday. Rooms were cleaned regularly.
The pool area was kept clean and staff tidied up constantly. There was quite a lot of adults drinking at the pool bar, but the pool is quite big so it wasn’t a problem.
The bar area is very poor, we didn’t see it open in the whole week we were there. It was very small with a few tables and chairs but not open.
We had a treatment in the spa which was average and overpriced, you can get a better deal in the many spas in the local area. You can however use the spa on your last day to have a shower etc..
The hotel is perfectly located and backs onto (almost) the beach. The beach is perfect during the day and the night is brilliant, great beach bars with plenty of multicoloured bean bags to relax in.
Would definitely recommend!",Pelangi Bali Hotel
1,"Pelangi Hotel Bali, Seminyak",40,March 2023,"We stayed in Pelangi Bali, Seminyak for a week and the stay was really comfortable. The staff were really friendly and service was really good. The place was clean and breakfast options were good too! In room dining options could have been better with more options. The room was comfy enough and maintained well. Overall, a good place to stay either as an individual or for a family for a short vacation as it's just very close to the beach and not pricy!",Pelangi Bali Hotel
2,fantastis,50,January 2023,"Awesome - right on the beach, great pool great food and close to all the restuarants
Within walking distance of the Bintang supermarket and walkable to Legian .The rooms are great and the staff super friendly . We will be back :):)",Pelangi Bali Hotel
3,Nice stay,40,March 2023,"The hotel looks very good and well-kept, very well located at just 1 minute from the beach. The rooms are spacious and clean, and the staff is very nice and kind. Varied breakfast and tasty food.
Overall, the quality-price ratio is very good.",Pelangi Bali Hotel
4,Amazing hotel,50,March 2023,"Great family friendly hotel with amazing staff. 2 good pools. Kids pool was shallow enough for 2 yr old to stand which was good. Both pools connect to swim up bar also.

Breakfast was good. Good selection of Indonesian, western and continental. No limit to how much you can eat.

Right on the beach and located to a vast amount of bars and restaurants.

Only negative is the room would fill with mosquitos daily. The hotel do provide some deterrent but reccomend buying some spray to kill them on site. Otherwise you will be chasing them round the name like I was.

Qn",Pelangi Bali Hotel
5,"Nice, comfortable experience.",40,January 2023,"Comfortable, clean, prompt. Conveniently placed for Seminyak top class eating joints, or shopping - 3.5 km by free hotel bus (@3pm everyday - pls pre book) to Seminyak Central or Kuta Market. Close to Agung Bali and Krisna Mall too for reasonable shopping.
Some friends enjoyed the clean and hygienic, very good spa and massage services.
Just outside the rear premises of hotel is a lovely beach, lots of shacks selling all kinds of cuisine. Wonderful place to relax, get a foot massage, or just chill! A little noisy tho. Some shacks have live music too!
Food not that great at this hotel. But, with so many eating joints walking distance from the hotel……food is not an issue. Breakfast was average.
Overall, happy with the hotel.",Pelangi Bali Hotel
6,Decent stay in a great location,40,December 2022,"Decent hotel in a fantastic location. Rooms are spotless, bed incredibly comfortable and the best shower I've ever had in my life. Great pool, sunbathing areas with an awesome sea and sunset view. Not so great breakfast buffet but adequate for the price, spa not really functional at time of stay (currently only offering massages, no sauna or jacuzzi).

Special thanks to Wiwik (front desk), Krishna (restaurant) and Andy (room attendant).",Pelangi Bali Hotel
7,DEPRESSING AND THE RECEPTION VERY HARD RULES VERY HARD. LOST KEY THEY WANT TO CHARGE YOU CAN IMAGINE.,20,December 2022,Too old hotel. Walking to the room the passage is terrible and the room are very depressing THE HOTEL RULES VERY HARD. DAUGHTER NOT WELL AND THEY ONLY GIVE ONE HOUR EXTENSION . We book ten room Better hotel like courtyard marriots just in the right place Harris hotel beautiful make you feel fresh. This hotel make you feel very depressing. Very quiet no people around the lobby,Pelangi Bali Hotel
8,We love Pelangi,40,November 2022,We love the position of the Pelangi hotel. It's right in the middle of everything and only steps to the beach. The breakfast is always good and plentiful. Staff are all friendly and the pool is beautiful. Very good shower since renovation. We would prefer bedside lamps to very bright spotlights in the ceiling. The downstairs room smelled of mould.,Pelangi Bali Hotel
9,Bali Family Fun,50,October 2022,"Would recommend this hotel. Spent 7 nights with adult children and grandchildren. Total group of 9. Staff were helpful and friendly, room was cleaned spotlessy every day. Loved it's location with beach outside plus restaurants and shops nearby. It's not a new hotel in fact it celebrated 21 years anniversary while we were there but it was lovely and we all had a wonderful time. Thank you Pelangi Hotel.",Pelangi Bali Hotel
