,title,rating,date_of_stay,review,resort_name
0,Nice hotel but far from beach and was noisy when ppl walked by too,30,May 2023,"Staff were friendly, room was good how ever had a balcony but couldn’t use it as there was no door to get out to it. Hotel is far from the beach. People were noisy as they talked and walked by your room. Pool was nice but not very deep.",Primera Hotel Seminyak
1,OK for one or two nights,30,April 2023,"Our villa was canceled last minute and we needed somewhere convenient to stay.
Good
-we had deluxe poolside room which was fine and bed was comfortable.
-pool/restaurant area pleasant
-Breakfast was mostly good although not in te usual way.Noodle/pasta/egg station very good.
-Staff very friendly indeed

Bad
- taxi service a rip off and hotel taking advantage of its isolated location by banning grab taxis
-3.6% charge of credit card that I was not aware of until after I paid
-bathroom smelt of cat wee
- decent coffee extra at breakfast and rather than being able to put on room they continually harass you for payment.",Primera Hotel Seminyak
2,Ramada-April 2023,50,April 2023,"My husband and I stayed at Ramada for approximately 2 weeks. Nice and quiet room, food at the restaurant very good. Staff very helpful and always smiling. In particular the girl at the reception , her name is AY, she is very professional and help us many times managed to solve quickly all our issues. Thank you so much AY for your service!! Thank you all and see you soon! Ilaria and Martim",Primera Hotel Seminyak
3,FANTASTIC.,50,December 2022,"Beautiful hotel,bed was the best commy iv ever slept in,staff were fantastic esp the pool towel lad called bob,freindly,helpful,kind,food was beautiful and for a hotel was,nt expensive plenty of choice buffet breakfast,christmas and new year eve buffet was excellent best holliday and hotel iv been on ,sad it came to an end so quick i fully 100% recommend this hotel.",Primera Hotel Seminyak
4,Great pool,30,February 2023,"A great hotel for relaxing by the pool. We stayed for a couple of nights at the end of our holiday, our first Western Styled accommodation in Bali.

The Ramada Encore is set away from things, so need a taxi to go and and explore. It’s location is great for those who prefer being away from the touristy shopping areas.

Our room was nice with a comfy bed and balcony. Has tea / coffee making facilities, a decent sized fridge and a hot plate for cooking.

A let down for me was having to pay everything as you used / ordered it. Which meant I always had to carry cash or card anywhere in the hotel. Not a big issue, just inconvenient.

Staff were friendly and helpful.",Primera Hotel Seminyak
5,Great hotel,50,March 2023,"A very nice hotel. The breakfast buffet is very varied and good. Nice pool prices are very reasonable. Employees demand immediate payment for extra food and alcohol. It's not nice to get paid right away. It might be better to register with a room number and make a lump sum payment at the hotel checkout because many well-known hotels in many countries use this system and it's great. Rooms are clean and cleaned daily. It is nice to have a gym, the necessary sports equipment is available. The garden room is nice as access to the pool is easy. The pool is constantly cleaned. The taxi in front of the hotel is also very helpful. Motor and vehicle park are available. The location of the hotel is nice.",Primera Hotel Seminyak
6,Don’t book Ramada encore bali,10,February 2023,"I stayed at the Ramada encore which I am not recommending.

On the first night at 9:00p the room experienced a power failure and after investigation the problem could not be remedied and we had to be moved. The hotel said they would give us a new room and upgraded room overlooking pool, I have never experienced this sort of thing but okay. It was pouring rain.

We moved to new room at 9:30p and went to bed shortly thereafter. I woke up after midnight to find the floor covered in water, not just a little area the entire room. The hotel puts this down to condensation. This is too much!! On top of it all this hotel is not in a good location you must take grab to go anywhere it’s a long walk to shops!!",Primera Hotel Seminyak
7,Very good hotel,40,February 2023,"We have just spent 15 nights at this resort. The only negative is that it is a bit removed from the main area of Seminyak. It is either a 20-30 minute walk or a 40-50k rupiah taxi trip. Other than that we could not fault it. All the staff from the front desk, the room attendants, pool attendants and restaurant were incredibly friendly and helpful. Congratulations to them all and also hotel management for maintaining such a high level of staff engagement. The pool is fantastic and certainly large enough that you never felt crowded, plenty of sun beds and a great selection of food cuisines are available at the restaurant",Primera Hotel Seminyak
8,Best bar asssist by Mr.Micky.,50,January 2023,Good and nive hotel environment. Bar looking good. Mr.Micky welcome with more respect and have a pleasend drink at bar. Mr.Micky nice and good bar assistant. I'm really enjoying have drink at bar by assist ny Mr.Micky.,Primera Hotel Seminyak
9,Service,50,February 2023,"Its my first visit to Bali,and im having a good time here with such a warm welcome and helpful person Mr Micky for his good support.Im enjoyed my visit here at Ramada Encore hotel,YOU WON'T REGRET ONCE CHECKED IN HERE!",Primera Hotel Seminyak
