,title,rating,date_of_stay,review,resort_name
0,"Good location, average room",30,April 2023,"🙂The welcome was lovely, the breakfast was good, the pool was nice, the massage at spa was good too. The bed room is very spacious and the location is great. We stayed in a deluxe standard room on the 2nd floor.
☹️ We were overpowered by air freshner when we entered the room. I found a bag of freshner beads attached to the toilet and put them outside problem solved, the smell they were covering was better than the air freshner.
Our mattress was old and hard and so were the pillows, the duvet appeared thin and old too and there was a slight musty smell from a pillow and the duvet. The bed linen and towels were clean but the towels were discoloured. I thought the pool area looked a bit tired too.
We stayed here 4 years ago but sadly I don't think we will stay again.",Puri Saron Seminyak
1,Good but could do with some improvements,40,May 2023,"The hotel while being in the perfect location may not necessarily be the perfect hotel. The staff are very friendly and do their best when they can to help. I stayed in the 2 bedroom villa and the only complaint I can say about the villa was the shower heads had lime scale all over them and the slight smell of sewage came from the drain but didn’t last that long once the water of the shower started to flow. The villa itself was wonderful. The tiles are very slippery when wet so be very careful when getting out of the Villa pool. The breakfast of the hotel was ok. It had the basics of toast, eggs, fruit, cereal etc. other guests that came on the holiday with me stayed in other rooms and a few complaints and room changes due to rooms not being cleaned properly, showers smelling, the biggest issue was safes not working ( but that was mainly due to previous guests being dicks and locking the safe when they leave) but again that should be checked by the safe when a guest checks out.
Overall I would stay here again due to the price and location but the hotel itself needs some TLC.",Puri Saron Seminyak
2,Beach Hotel,40,May 2023,"This is my second stay a Puri Saron Hotel and this time I am very pleased. My room has a very nice balcony and a garden view. I love it. Thanks very much for accepting my request for this. I really appreciate it.
As for the employees I just can repeat again that everyone is very friendly, helpful and polite. Thank you for a lovely stay here. I will be back for sure.",Puri Saron Seminyak
3,Very close to the Seminyak Beach,40,April 2023,"Good experience, the hotel is a stone throw away from the buzzing Seminyak Beach. Would recommend for anyone on a budget. Food and hospitality met our expectations. There is a Circle K close by for any groceries which we found useful.",Puri Saron Seminyak
4,Definitely recommend,50,March 2023,"Have just left Puri Saron last week and cannot recommend enough . Our room down towards pool area was fabulous. Hotel is authentic old style and staff were the friendliest ever , Alit Merta the manager could not be more obliging . In a great position right on the beach … will definitely be staying again .",Puri Saron Seminyak
5,Relax all day,50,March 2023,The feeling of friendly comfort comes to mind whenever we come to stay at this hotel the staff at the hotel are so very welcoming the hotel location is second to none the food the amenities are exactly what you’re looking for for a relaxing time. Once again you have exceeded our expectations and we look forward to our return to Bali.,Puri Saron Seminyak
6,Another wonderful stay,50,March 2023,"An awsome stay once again. It had been 4 years since our last visit due to Covid restrictions. Once again The Puri Sarons' accomodation, staff and hospitality was first rate. The staff as always were extremely accommodating, nothing was too much trouble for them. Location is central to everything we needed and enjoy. Will definately be back again same time next year.

Thank you Puri Saron and Alit Merta for another wonderfully relaxing holiday.

Michelle and David (Aka Captain)",Puri Saron Seminyak
7,Another great experience,50,March 2023,Once again another fantastic stay was welcomed back with open arms staff are absolutely brilliant will do anything for you location is brilliant bars restaurants and beaches within minutes can't wait to get back to my second home miss the place and people so much,Puri Saron Seminyak
8,"Excellent value, great hotel",50,March 2023,"Excellent in every regard. Sure it's an older style hotel, but that's part of the charm. Amazing friendly staff. Huge rooms, amazing location. Walk to everything in Seminyak, or a short scooter ride.

Can't fault it!",Puri Saron Seminyak
9,"Tired, but very friendly.",30,January 2023,"Stayed here for 10 nights in January, booked a double room last year, on check in, we were told no double room only a twin, we said no, we wanted a double, so 1 night in the twin room then given a double room next to reception which was OK.
A few days later, water started running through ceiling above toilet, so we complained and ended up in what must be one of the best rooms, upstairs above restaurant.
I understand covid has been a contributer to no money, but really this hotel needs tidying up.
The pool is lovely, the barman too. Had a lovely massage which I'd highly recommended. The restaurant staff and reception staff very helpful.
The pool area toilet needs attention, tap broken, wall needs re plastering, bin needs replacing as broken for paper towels",Puri Saron Seminyak
10,"Old, tired hotel.",20,January 2023,"Where to start, the property is in desperate need of refurbishment. Although the room was clean, the room fridge was old, dirty and froze everything we put in it. The water pressure was poor for the shower. There are broken tiles everywhere inside and out, all the garden ornaments are crumbling/ dropping to pieces. The various fish ponds around the hotel are dirty (poor fish). The night receptionist was rude and inappropriate to my wife. I have read on here that this is not the first time that has happened. The rest of the staff have been very helpful and pleasant. They have been reduced from 150 staff to 70 so they are doing the best they can. The photos shown are probably from when it first opened and it looks nothing like that now. There are better places to stay, we will not be returning. On a separate note, the beach is quite dirty and polluted in this area. The authorities need to address this.",Puri Saron Seminyak
11,I was sexual assault by the front desk guy,10,December 2022,A guy name Budi at the concierge sexual assault me in bahasa indonesia. He wasn't aware that i am able to speak bahasa. He commented out loud to his colleagues about my boobs and look me in the eye. He is definitely aware 10 mins later i approach him for his name after speaking to him in bahasa indonesia. He ask me why. Which i guess he was stunned to know I'm able to speak bahasa. There wasn't any apology and i have not receive any email yet from Puri Saron Seminyak. That behaviour shouldn't be on a front desk greeting guest. I was feeling really destroyed leaving Bali with that remark. I hope this catch their eyes and reply my email.,Puri Saron Seminyak
12,Debating 3 or 4 stars.In need of upgrades but awesome location,30,November 2022,"We have just come back from Puri Saron in Seminyak.I must admit that we were underwhelmed when we first arrived with the room.The bathroom stunk and smelled like the septic was coming back up through the drains but it improved.The room was quite tired but the bed was comfortable and clean.The pillows smelled a bit of previous guests but the sheets were clean.We did have to ask for extra pillows as we only had one each but they were delivered immediately.The bathroom was very dated and the soap provided didnt clean you at all or lather up.Shampoos and other items were OK.The shower curtain was discoloured and had mould along the bottom of it.The water was hot and a good strength.The grounds are beautiful and situated right across the road from the beach and restaurants but the beach restaurants left a lot to be desired.Overpriced and poor food,Breakfasts in the hotel were good and the staff were fabulous.Pool was lovely and clean and plenty of day beds to be had.Swim up bar.We used the spa which is not something we usually do and had massages which were EXCELLENT and worth paying the $3AUD extra to be in a peaceful,clean spa.Very good massages and they had 30% off the prices so very happy.We didnt have any meals here as the kitchen didnt look to be busy at night but I am sure you could have.So from arriving and not being impressed we left saying we would definately stay here again.We warmed to it",Puri Saron Seminyak
13,all round great hotel,50,November 2022,"Stayed here for a week in November, could not fault anything. Older tyle of hotel, but rooms are huge, kept spotless clean. An excellent breakfast buffet that caters to everyone. And the location is just amazing, on the beach. And best of all a great mix of guests and age groups! And spa is excellent too, as is pool area.
Very good value for money, my new go to hotel for future trips!",Puri Saron Seminyak
