,title,rating,date_of_stay,review,resort_name
0,DO NOT STAY HERE,10,March 2022,"I stayed here for my vacation for a week, I booked directly with the receptionist and had a weekly rate and paid upfront. sheets are dirty, telephone in the room not working. Spoke to reception for issues with NO result. engineers came and said the telephone in the room not working even though I told them I need the telephone to order food so I stayed with dirty sheets and stains from lipstick also holes in there from previous guests and they did not change them for me as a new guest for a week. DO NOT STAY HERE,",Sense Sunset Seminyak
1,Trust the negative reviews.,10,October 2022,"I paid for a pool access room - the only issue is there was no pool during my 2 day trip. The hotel and also Expedia would not offer any partial credit. Additionally, my shower handle broke, my water pressure was off the charts with half the water spraying the wall and half hitting me. The water was luke warm at best which was fine since it’s hot. The refrigerator was also busted and the lights would flicker when left on. Also the soap dispenser kept falling in my feet in my mission impossible shower attempt. This was one of the absolute worst experiences for a two day stay I’ve ever had. The bedding was average at best, and if you need comfort I highly suggest against this place. I’ve stayed in hostels that were more comfortable. Do not stay here until they remodel the establishment trust me on this!!! Similar price hotels all in the area. Rooms are also extremely tiny. I’d give this zero starts but hotel staff was friendly, so I will upgrade to 1 star. Management refused any refunds which is very bad business. Expedia wouldn’t refund as well. All I ask is to not be charged for a premium room if the features aren’t available. Also a working shower handle and water pressure would be nice. Oh yea the safe doesn’t work In room 5007. If the pool wasn’t empty at best this is still a 3 star hotel and that’s pushing it.",Sense Sunset Seminyak
2,NEVER STAY AT THIS THIEF HOTEL,10,February 2022,"Very disappointed, I stayed for 3 months, and cus of something i need to leave on my second month. We both agree when I come back i will continue to stay there for the rest of stay. I tried to contact their wa and call but no answer to confirm that I am back to bali, till i came the hotel tvey said I can continue starting tomorrow. And the day check in after having registration they asked me to wait till 2 so i went somewhere and came back at 2.30. Suddenly they said that currently they have no longer monthly package so the rest stayvthat i have for 28ndays is not valid anymore so they convert my stay only to 7 days, eventho before that already had my id and and cc deposit. Unilaterally on the same date they canceled, I was very confused, annoyed and disappointed with their service, I had to find a destination. And finally they offered to refund and until now my funds have not been returned. What a hotel thief",Sense Sunset Seminyak
3,Sunset sense seminyak bali,40,June 2019,"Chose the hotel as it features mezanine, as we travelled wif 3 teenage kids, and swimming pool! Both r delighting, the mezanine was spacious and air cons workd extremely well. Pool is not wide, but fine. Hope the hotel improves its breakfast ranges and taste ! 8.5 of 10",Sense Sunset Seminyak
4,Ok but wouldn’t stay again.,20,March 2020,"Location wise the hotel is in a run down area, the streets aren’t very safe to walk down and about a 40 minute walk to Kuta Beach. The hotel room wasn’t very big, with only 2 hangers for a 5 night stay? We couldn’t unpack due to lack of space which is dissapointing we had to live out of our suitcases on the floor in an already cramped room. Also the shower is rather pointless, hairdryer is very weak! 100% bring your own. Rooms are rather dark, and very noisy. Positives of the hotel room would be the air con is nice and cold and keeps the room comfortable, the TV had some good english speaking channels and the rooms were clean also get a bottle of water each day which is a nice touch. The breakfast at the hotel was not the best. Not many english options mostly just rice and chicken very much the same every day. It does have cornflakes and chocolate cornflakes, also some pineapple and papaya. Also toast making facilities, overall if your a picky eater I would reccomend going else where for breakfast. The pool in the hotel is very small and doesn’t really get any sun so we weren’t able to sunbathe which was sad. The gym in the hotel is three cardio machines which suited me fine but would be improved if they could have some weights. Overall we probably wouldn’t stay in this hotel again an ok hotel but just wasnt for us.",Sense Sunset Seminyak
5,There are two Sense Hotels in Seminyak! Check your reservation! This one is not the one near the beach!,10,February 2020,"We were browsing through hotels in Seminyak on Agoda, and happened to see Sense Hotel Seminyak. After checking out some other hotels we concluded that we were going to make a reservation on Sense Hotel Seminyak. We typed in “Sense Hotel” and quickly made a booking straight away for same day check-in. When we were to make an online taxi reservation to go tothe hotel, we were shown that there are 2 Sense Hotels in Seminyak - named Sense Hotel (close to the beach) and Sense Sunset Hotel (this one!). Only then we found out that we accidentally/unintentionally booked Sense Sunset Hotel Seminyak, and it was not the one we liked and meant to book (Sense Hotel Seminyak). Unfortunately the booking had “non refundable” condition, so we were in difficult situation. We called Agoda to cancel the reservation, they were very helpful that they would try to talk to the hotel and call us back once they received hotel confirmation. In about 5 minutes they called us back and informed us the hotel didn’t allow us to cancel the reservation. We then tried to call the hotel directly, explained them our situation but the guy on the phone was rude enough to tell us that it was fully our fault and the hotel would not refund our cancellation. We asked him to put us on the phone with his manager and a lady came on the phone, again we explained to her our situation and we asked her to transfer us to Sense Hotel Seminyak (near the beach), thinking with her position and authority she could be any of help. She confirmed that Sense Hotel and Sense Sunset Hotel belong to the same group but owned by different people thus they couldn’t just transfer me, I understood and then asked again for a refund and her answer was “because you have made your payment, our accounting team cannot refund your reservation as they will need to go through a lengthy process - I told her I wouldn’t mind waiting for my money to be back, as long as it is refunded and I can make a new reservation with Sense Hotel Seminyak, but she kept saying no without giving a proper answer, to a point I had to ask her “do you not want to give me a refund because it gives you some lengthy work?” And she started to stutter trying to correct her already-said statement.
We were so disappointed with their service that we decided not to show up for our reservation. Not only location wise it is very bad (it’s located in the big sunset road that it’s not convenient to walk around, also far from the beach! And not many things happening around), but also the rooms don’t look as nice as the other Sense. Even before our arrival we already didn’t like their service, couldn’t imagine if we experienced something during our stay they might not be helpful at all! no wonder they are rated lower than the other Sense!

So if you want to stay in a decent priced hotel, near the beach and nice cafes, where you can just walk around at during the day / night for local business shopping, definitely don’t stay here! And double check your hotel name and location, because if you booked in this hotel, you wont get your money back!!!!",Sense Sunset Seminyak
6,Cool Place on Highway,40,November 2019,We visited this place on 28th November 2019. Our tour manager Shreelaxmi arranged every thing and we god our room keys immediately. rooms were comfortable. and people were caring and helpful. restaurant has good view of pool . we stayed there up to 1st December. What we feel is its in the heart of the city but not in crowded area. we have all amenities near by. Indian restaurant for lunch as well as diner is available near just walk able distance. We recommend this place for stay in Bali,Sense Sunset Seminyak
7,A Good Hotel to stay,40,December 2019,"We stayed in this hotel for four days. It is having a small pool and many rooms are having pool view.
Staff was helpful and courteous. They served with smile. Free wi fi is available but signals are not so strong in the rooms.",Sense Sunset Seminyak
8,Limited - better elsewhere.,30,December 2019,"We booked this as part of a package with a cruise included - this hotel is VERY cheap if booked independently. I can't complain about value for money but this hotel is VERY limited & really reduced our enjoyment of Bali.
Others comments absolutely valid - no wardrobes, hangers or drawers - you are living out of your suitcase on the floor. Initially we had a room on the basement floor which was akin to walking into a Sauna - Bali was VERY humid - the room was unbearably hot with no throughflow of air - plus opaque none opening windows which faced a solid brick wall. We complained & got upgraded to the 5th floor which was a lot better but still A/C not really effective but bearable.
This Hotel is unique in not allowing us to charge things to the room !! Really never had this anywhere in the world before, we had to lodge a small cash room deposit of £10 - once that was gone which was really quickly you had to pay - so ecvery breakfast we had to pay cash, every drink the same - just really an absolute drag. Other big problem the Hotel has is some of its guests - we had the misfortune of a large number of incredibly loud Chinese guests - who shout at each other ALL the time;have their phones on really loud - shout on the landings at all hours with absolutely no respect for other guests - the similarly problematic.

The hotel has NO outside space in the sun which is a shame.

On a positive note the staff are absolutely lovely, so gentle and patient - all doing their best to make your stay as pleasant as possible.

Also there IS a little known back door which gives much quicker access to the nearby streets which host many very good and very reasonably priced restaurants.",Sense Sunset Seminyak
9,Good Location,40,June 2019,Budget hotel...Good location in busy Seminyak....Nice friendly staff and clean rooms although we did get our room upgraded so when booking choose supreme room rather than deluxe as the deluxe has no view or balcony..be prepared to be beach bums as although the hotel pool is lovely it is enclosed by the hotel rooms and doesn’t get much sun at any time of the day...They have a “back door” access which means a 5 minute walk and your at the bars and shops..another 10 mins to the beach which is well worth the walk..It can be quite noisy because of the layout of the hotel but we didn’t spend much time in it...to much to see and do in fabulous Bali !!,Sense Sunset Seminyak
10,Not a bit of outside space,30,October 2019,"This hotel should be avoided unless you want to live out a suitcase. No wardrobe space or drawers whatsoever. We were “ upgraded” on arrival to a deluxe room. A bed, tiny worktop and one cube stool. Three hangers attached to a short pole was what we were expected to put our clothes on. We had to pay extra to be moved to a suite. Don’t be fooled that it was grand. It wasn’t. It had a wardrobe but still no drawers. The safe was on the floor and as we are both in our 60’s, posed a challenge to use. Our biggest complaint is that their web site shows lovely outside sitting areas which don’t exist! The hotel sits between two roads and there isn’t anywhere at all to sit outside. The pool is tiny and has 5 sunbeds. The sun doesn’t get to it as all the rooms face on to it. The doors from the rooms don’t fit well and the noise from about 7 o’clock from children in the pool is horrendous. The shuttle takes you to the beach but doesn’t bring you back so you need to either walk (about 15 minutes) or get a taxi. Take enough money to pay for this and sunbeds at the beach. Find somewhere else.",Sense Sunset Seminyak
11,Good hotel but with a mafia taxi at the door,20,November 2019,"The hotel, the rooms, the swimming pool and the stuff are correct, but you have to be careful with the mafia in the parking lot.
We asked for a taxi and a person without documentation and in front of the security guard and the kids, told us in a very rude way that he could not enter because only they could enter and pick up customers.
I don't understand how a hotel can allow this kind of mafia that, at least for our part, have ruined the experience and I don't think we'll ever come back.",Sense Sunset Seminyak
12,Not that great,20,November 2019,"Would not recommend if you are looking for something nice. Very basic and not a 4 star.

Hotel had stains on bed, mould in shower and was left dirty.

Staff were lovely but all over very basic. Hotel drivers are a rip off and they are tight with amenities. Hotel breakfast was also basic and boring. Hotel is located 10 minute drive from Seminyak square so you will need to either walk 30 mins or pay for a taxi - better to stay closer to avoid fees.",Sense Sunset Seminyak
13,Value for money,40,December 2018,"stayed here with my family for a week. Friendly staff , good amenities. not bad for a 3.5 star rating, kids enjoyed it
bit of a walk to the markets though , but taxis are very cheap
my advice catch a ride on motorbike because of the traffic.
1hr to go 4 kms is toooo long",Sense Sunset Seminyak
