,title,rating,date_of_stay,review,resort_name
0,"Small touch, Big memories",50,October 2022,"Big thank you to Putu, Wiras, Nindi & the rest of management for the birthday surprise. Overall, very nice budget hotel good for value. Clean. Staff are friendly. Quite hotel environment. Not to far from Seminyak Square. We enjoy at Bali and looking forward to comeback here. Once again, very Big Thank You to everyone.",The Alea Hotel Seminyak
1,Smelly & spooky hotels,10,December 2021,"I booked for 3 nights, but i just stayed for 1 night, when i get in the room, room is dark, i take the room on 1st floor, so i have a pool access, bed and pillow are smelly, and have someone knock the door, but no one there! Location is good near the cafe",The Alea Hotel Seminyak
2,Unwelcome since the first moment,10,September 2020,"What a wast of time. Riding along the hotel we saw an advertisement saying a promo price for two weeks. Then, why it checking it, right?

Going to the reception,no greeting at all. trying to explain, the receptionist tell me with a rude tone ""not available today"". okay, I look for next week. She doesn't really seem to understand.. I felt so not wanted there.
Then she tells me to sit and wait. I see other 3 people with luggage waiting. It looks like we're on a line. Maybe someone will come and kindly show me a room? No one explained what we wait for. 10 minutes later the girl speaks in Bahasa to my girlfriend, even f it was only me speaking to her in English before that. Rude again. It appears that we should follow her. Then why waiting for 10 minutes?!

Following her, I try to ask in English why there are so many rooms, but no availability for today? Maintenance. 5 floors, 20 rooms per floor, 2 buildings, that's 200 rooms. okay, not an issue, you don't need too many customers now, I get it.
She shows me a room, very small, smells bad, no balcony, no view. definitely not worth the promo price even.
the receptionist kept being unfriendly, when I asked if they have bigger rooms. Obviously not willing guests in the hotel or just not willing to show me.
On my remarks that it smells bad she just said ""yes, because not ready"". Well, if you want to sell something, you just don't show something in a bad condition.

To the management: Train your staff. This is not the typical Balinese hospitality. I don't care about the price or the room size, but I definitely care about my experience with the staff.",The Alea Hotel Seminyak
3,Everything not running well,10,March 2020,"I jus checked out this afternoon and very excited to write my dissapointed comment in Tripadvisor.
1. I got 2 seperate beds and they made it into 1 bed. (Try to understand, maybe they on high occupancy)
2. When check-in , I asked for late c/o rate and they informed me the fee is IDR 100,000 per hour. And this morning, I asked again to their Receptionist and informed me the fee is IDR 50,000 per hour. (Different information)
3. When check-out time, I wish to pay by Mandiri but their EDC Machine was low-battery so we need to process the transaction with BCA with bank fee. They informed the bank fee ONLY IDR 2,000 (without apologize that their Mandiri machine not ready to use, and we charged more)
4. THIS IS THE FINAL
They asked me to wait a moment to check the room conditions and we wait in lobby area. There was 2 Receptionist (1 man and 1 woman) and 1 woman with batik. The woman who wearing Batik called me to the counter and informed me there was a blood spot on the sheet and we need to pay the penalty IDR 25,000 (I just stayed for 1 night and on my period. So I think it’s normal if there’s a blood spot on the sheet. How if guest stay for 5 nights on their period? Should they paid for IDR 25,000 x 5 nights? They even didn’t explain to me). Well it’s not about the money, but the way she informed me made me VERY UPSET! They informed regarding the blood spot in front of all of people there. It very unpolite way. And after we passed the Receptionist, they laughed very hard. It made me so upset and sad.

We decided to NEVER COME BACK AGAIN!",The Alea Hotel Seminyak
4,STAFF ARE EXCELLENT,50,February 2020,"Stayed in Alea hotel twice,
Like it so much
specially reception staff are very helpful,friendly
The hotel for the price I got deserved more .
just need some small,tiny renovation
But still if I compare it with other hotels stayed is the best one in this category.
Thank you for your hospitality Alea family",The Alea Hotel Seminyak
5,Great place,50,February 2020,"the location is excellent, close to main street of seminyak and to the restaurants. We are very enjoy stay at the alea hotel seminyak. The pool was great and staff also friendly, i will comeback again to this hotel in the future",The Alea Hotel Seminyak
6,Transit Staycations,30,January 2020,"A budget hotel in Seminyak. Not a big property but feels comfort, the staff was friendly and helpful. The room so simple and clean it’s value for money is rather cheap. Location in good area in Petitenget.",The Alea Hotel Seminyak
7,Disgusting hotel that is colluding with booking.com to overcharge and mislead customers,10,December 2019,"This hotel is not what it seems. The pictures provided on numerous booking sites do not in anyway represent the hotel and is extremely misleading. They advertise their rooms as ""deluxe rooms with a pool view""
that is a gross misrepresentation of what
the product actually is. They use
booking.com to mislead customers by stating
the rooms are in high demand and charge
extortionate rates because of this, over 4
times the standard room rate for this
hotel. This would lead one to believe that the hotel is amazing and almost 4 star
quality, when in fact it is worse than most
hostels. They make numerous claims about
the amenities they have at the hotel, such
as wifi (wifi does not work in any part of
the hotel) clean, comfortable - again this
is not true, the rooms are disgusting,
filthy and beds are lumpy. Without a doubt
the worst hotel I've ever had to endure
across the globe. Management and staff are
rude and unhelpful. They'll try and stick
you in a substandard room that you did no
t request, until you complain about paying
a lot more for what they try and give you
, then all of a sudden, more rooms become
available for you to choose from in their
""fully booked"" hotel. I requested a refund
immediately on check in so I could stay
somewhere else and they refused claiming
booking.com are responsible for refunds and
told me to contact them, then when I
contacted booking.com to raise my
complaint, you guessed it, they told me to
speak to the hotel manager! Absolutely
outrageous behaviour to rip customers off
and mislead them into buying their terrible rooms at extortionate prices. Do yourself a favor and stay in a campsite, as it would be a lot better than enduring a tortuous stay at this shack. My pictures represent the room I was given which was advertised as deluxe room with a pool view. Can you see the pool?",The Alea Hotel Seminyak
8,Short Stay,50,January 2020,"We stayed at The Alea Seminyak for 1 night. From the moment we arrived we greeted by a polite and friendly staff.
The room was quite big but little bit ages, also the air conditioning seem not working well during the day but its getting cooler at night.
Overall we love this hotel ambience and service. Just one input is please more attention to certain area of the hotel that need maintainance.",The Alea Hotel Seminyak
9,ROOM IS SO DIRTY!!,10,January 2020,"We checked in, smell was so BAD!! We found lots of hairs on the pillow, so many stains on the bed sheet. Bed sheet smells so BAD! We stayed for 15 mins and checked out immediately!! Housekeeping not helpful",The Alea Hotel Seminyak
