,title,rating,date_of_stay,review,resort_name
0,Pleasant stay,50,January 2023,Again and again.. I always had such a pleasant stay in this hotel. The receptionist who named Wulan is always been such a great help and gave a 5 star service with the check in process. Also the staff and the cleaning service are friendly n did a great job with my room. The food especially the breakfast is really nice with lots of options. I couldn't recommend enough for this hotel. It's family friendly and it's in great location too.,The Haven Bali Seminyak
1,"Good location, friendly service",40,May 2023,"Good location and reasonable price. The pool area is nice, we didn’t have breakfast so can’t comment on the food. The rooms do feel a little rundown, could do with some fresh beds and pillows. In saying that we slept fine. It’s a good option if you just want a good price/location in Seminyak close to all the action. But for a more “traditional” resort experience I would suggest elsewhere. Service was great.",The Haven Bali Seminyak
2,Simply the best hotel and staff - Amazing Stay,50,February 2023,"Amazing accommodation, beautiful suite and the staff were amazing and so accommodating, second time being here and would not stay any where else.
Was so surprised on my birthday, Manager greeted me with a beautiful cake and also lovely coffee, wonderful surprise.",The Haven Bali Seminyak
3,Great place to go for mild to wild,40,May 2023,The hotel pool is phenomenal and a seclusive gem that made the stay and experience worthwhile. We very much enjoyed the breakfast buffet that exceeded our expectations. You can’t escape the noise from the bustling street at any hour but this may be all of busy Seminyak.,The Haven Bali Seminyak
4,Hotel that exceeded expectations,50,May 2023,The hotel was a very positive experience..clean and modern with great breakfast and beautiful pool. Special mention to adi and novi at the pool bar and nanda on the eggs in the morning. We loved our stay and recommend this as a place to stay. In fact all the staff were friendly and polite could not fault.,The Haven Bali Seminyak
5,Haven,40,May 2023,"The hospitality, room, spa ,pool were all good. But you must understand that water is the basic necessity for all living beings and charging a guest for water is not done. Also, there were hardly any vegetarian options in the hotel menu. With a lot of guests coming in Bali from India, vegetarian options must be there in every hotel's menu",The Haven Bali Seminyak
6,Great service from Desi,50,May 2023,"Great service! Desi was the most helpful and lovely staff member working at the restaurant, she made our experience so welcoming! Would definitely return to this hotel for our next stay in Seminyak.",The Haven Bali Seminyak
7,Needs Renovating,30,May 2023,"Stayed here for 7 nights recently and had a good time. The staff are amazing but the hotel is in desperate need of some renovations. We stayed in a family room at the back of the complex and the rooms were great. It has 2 bedrooms, 2 bathrooms and a large lounge, kitchen/dining area. Air cons are cold but leak all over the floor, shower leaks thru the wall all over the bedroom floor making it quite dangerous. Beds are so hard it was very uncomfortable. Floor tiles cracked and uneven, mouldy shower head and wall around toilet. Like I said, rooms in desperate need of renovating. If you are planning on staying watch out for the uneven timber decking around the 3 back pools, the nails are sticking out, timber is water and sun damaged and my daughter fell through a few planks. Unfortunately I wouldn't stay here again",The Haven Bali Seminyak
8,A haven to enjoy. But eat outside.,30,May 2023,"we quite enjoyed our stay because it was like ' a resort in the city ""The staff are always smiley , friendly and helpful. But the food needs improvement ( both breakfast & the BBQ Seafood ). Budi the singer was really enjoyable.",The Haven Bali Seminyak
9,Good Service,50,May 2023,"We are satisfied with this Service, Very Friendly….
Nova at Receptionist very helpful…. Very recommend to stay… Wonderful stay, Staff very helpful.. Will coming back again… Good location because close to beach…",The Haven Bali Seminyak
10,Outstanding,50,April 2023,"The customer service was outstanding, the friendly service beyond anything my husband and I expected. We felt like we were in such a safe and welcoming environment with such friendly staff we now call family.",The Haven Bali Seminyak
11,Guest experience,40,March 2023,"The staff were amazing special mention to Dharma out the front security, he is an asset to your business. Very friendly guy. The food was ordinary we ended up eating away from the motel, not a great selection for lunch at Tea, breakfast not so bad.",The Haven Bali Seminyak
12,"Good, not great.",30,March 2023,"Really good accomodation, we stayed in a pool access room, which was nice.
Unfortunately the food is really average and the location isn’t the best.
Overall, staff were lovely and the accomodation was great, just not in the right location for what I’m after, and the food was a real shame. Multiple meals were inedible.",The Haven Bali Seminyak
13,Dated rooms and below expectations,20,May 2023,"The rooms are very dated, not how it is reflected in the pictures. The bathtub is old, rusty, and dark. It definitely needs a replacement. Many parts of the room are patched up with chipped wood pieces. There was a cockroach in my room. The hairdryer was not producing hot air and needed a technician to fix it. It finally got fixed after putting in the request for 2 times. When asked for a standalone hairdryer in the replacement hotel does not have any, only the fixed one in the room. Housekeeping forgot to replenish toiletries and send up 2 sets of each when requested. However, when returned to the room the next day, one set was taken away by housekeeping! The air con malfunctioned a few times and I need a few attempts to get it running. Overall the room was poor. Staff are helpful but the service standard is not meeting guests needs. The location of the hotel is the only positive of the hotel. I would not stay there again.",The Haven Bali Seminyak
14,Awesome staff at the Haven,30,May 2023,"Some room features need updating, fridge not working, shower was luke warm and not draining and toilet leaks.

The staff, especially the cleaning staff were the best part of the Haven. They were friendly and accommodating.

5 stars ⭐️ for Agus and July who cleaned our room when we were sick. Nothing was too much trouble.",The Haven Bali Seminyak
15,Would not recommend it,10,March 2023,Would not recommend it. They couldn't even get it right to call an ambulance while my daughter was dying. 3 calls to the reception and 3 hours later they tell me they forgot to call the Ambulance. My daughter almost died.,The Haven Bali Seminyak
16,New experiance,30,April 2023,"Wall Bathroom so Dark, not clean.
Better change to bright color, breakfast menu boring, taste so so,
Need something to make people interisting stay at hotel.
Parking area small,
Hotwl People so nice",The Haven Bali Seminyak
17,"The best hotel in Seminyak, Bali",50,April 2023,"This is the best hotel one can choose in Seminyak! It is the best value for money.
The most important characteristic is the incredible team. I stay here for one month and receive the best attention one can only dream of. The team know my name, meet me with a smile and meet my dietary needs even.
Chef Bagus is in change of the restaurant and is able to prepare the healthiest yet nourishing dish for you with personal attention. Everyone is serving the food with the best smile and grace.
All facilities and services are great: suite, pool, spa, lounge area!
I would come back and never look for expensive alternatives where I will never be able to receive this attitude of respect! After al a holiday is about the way a place and people make you feel!",The Haven Bali Seminyak
18,Under Standard,20,April 2023,"We stayed in the 2bedroom suite and it was not very clean. The bench tops were really dirty under the light. The cutlery was not clean. In the restaurant you have to ask for Salt and pepper and even sugar.
I won't stay again.",The Haven Bali Seminyak
19,very good,50,April 2023,Very good hotel. The hotel staff are very nice and helpful. Stayed in a pool access room. Very comfortable bed. Breakfast is also good. Hotel location is good. It took about 30 minutes by taxi from the hotel to the airport. I would stay there again.,The Haven Bali Seminyak
20,The Haven,30,April 2023,"Was kind to get free upgrade. room is big and nice view at Balcony. however, room condition abit off maintain mode with crack flooring. Gym open at 8a.m so it is abit late for me. All the staffs are very friendly and helpful.",The Haven Bali Seminyak
21,Fabulous stay!,40,April 2023,"Very friendly, lovely helpful staff. Great pool and facilities. We were in a room and would look at booking a suite or villa next time. Clean and tidy but a little tired. We still had a fabulous time and would come back again!!",The Haven Bali Seminyak
22,"Family of 4, 2 bedroom suite. Breakfast for a Coeliac.",40,April 2023,"Great location, close to everything. Staff were 5 star. Thanks especially to Desi for sorting out gluten free breakfasts for my child. Good pools, pool bar wasn't great. Rooms are a little tired but comfortable and spacious. We stayed in a 2 bedroom suite with 2 adults and 2 kids. Make sure you get an anti slip mat if your shower is over a bath, I have a huge bruise to show for slipping when getting in even though there was a pole to hold.",The Haven Bali Seminyak
23,A haven of calm in an idyllic location with the best staff ever,50,March 2023,"I arrived at The Haven after spending two amazing weeks in Ubud. The day I arrived was the day before Nyepi and the streets were crowded, everyone preparing for Silent Day.
Hotel staff were very helpful, having already organised events within the hotel confines for residents for Nyepi, explaining this and what is expected from guests.

The hotel is large, split into two buildings both with pool areas. The main breakfast/dining area overlooks the bustling Main Street and is a great place to enjoy a meal and observe busy Seminyak life. Food and drink options were plentiful and tasty.

The bedroom was a good size, overlooked the pool with a balcony, the room would benefit from an update but it was clean, had air conditioning and a fridge.

I used Atma Spa and had a wonderful Balinese Massage in beautiful surroundings, a lovely experience.

I had expected yoga to be included as a regular daily event, however, as this was not possible Adhi, Front Office, arranged private yoga sessions for me at a very reasonable price. I met with Yoga Instructor also called Adhi, on a couple of occasions and had a fantastic workout with him, I was very happy with that and would have booked more if there was time.

Overall the secret to this hotels success is it’s staff, I have stayed in many hotels all over the world but the staff here are absolutely amazing, so courteous and kind, everyone greets you and goes out of their way to help, best staff ever.",The Haven Bali Seminyak
24,Overcharged for one night & constant room issues ruined my stay,20,April 2023,"I stayed at the Haven on my first solo trip to Bali so had a lot of affection for the hotel as my previous stay was wonderful. Unfortunately however the Haven is simply a shell of the hotel that it once was.

The stay began poorly when I was allocated a twin single room on the roadside of the hotel even though I had paid extra for a pool view room (in order to avoid the road noise), whilst I agreed to stay in that room for one night only, no compensation was offered at all to account for me having paid an additional fee for the pool view.

I was then transferred to room number 2 of my stay, and this room appeared to be ok until I went to take a shower only to find out that the shower didn’t work correctly with engineering needing to be called to fix the issue. What ever the engineering department did to fix the shower ended up resulting in a grinding noise coming from the pipes every 5-10 minutes throughout the following night and into the day. I reported this to the night clerk, who advised that he would have engineering back to fix the issue the next day which didn’t happen. When I went to check in with the front desk about when engineering would be back to fix the issue, I was simply told not to worry about it as it was only the pipes. It wasn’t until after I stated that I couldn’t sleep with it occurring every 5-10 minutes that the front desk clerk very reluctantly agreed to change me to a new room.

I was then transferred into room number 3 of my stay, only to find out that this room lacked both a functioning lock on the balcony door and did not have a safe in the room, so the room wasn’t safe & securable. It was only after complaining to the front desk once again that they very reluctantly sent engineering up to fix the lock & install the safe. I then stayed in that room for the rest of my trip even though it had an intermittent power issue where the power would flicker off/on in the mornings.

I sent through a written complaint via the hotel’s contact us page, however the hotel management has completely ignored this complaint to this point.

This meant that I spent the first 4 days of my stay having to deal with room issues which pretty much ruined the rest of the trip for me. It’s very clear that the management of the hotel has not been conducting basic room checks or maintenance on the rooms as they are currently well below what would be expected of a 4 star hotel

Throughout the room changes it became apparent that these issues were not limited to my stay, as there were a number of others experiencing similar issues and being shuffled around the hotel from one substandard room to another .

The only saving grace was that the restaurant, engineering & housekeeping staff were very friendly

Overall a very very disappointing stay",The Haven Bali Seminyak
25,"Amazing Hotel in Seminyak, great team, Perfect location.",50,April 2023,"Amazing experience, great location, delicious food.
Ryan and entire team are amazing, world class in hospitality.
Koming and her housekeeping team also fantastic, super clean and everything look tidy,
Sumardika and Krisna always keep my room clean and fresh.
Its my 2nd time at The Haven Seminyak and will come back anytime go to Bali for holiday or businesses.
Thank you team, you guys are A+ team",The Haven Bali Seminyak
