,title,rating,date_of_stay,review,resort_name
0,Staff are amazing,50,April 2023,"We loved this hotel , the staff could not do enough for you . Breakfast ,you could have anything you wanted and my omelettes were always cooked perfectly- loved the free afternoon tea touch the kids enjoyed trying all the little cakes .for the first time in years the bed we had in our 2 bed suite was just right ( no my name is not Goldilocks 😃) ate lunch almost everyday which was pricey but lovely ,with plenty of restaurants outside we always went out for dinner so didn’t try the evening menu at the hotel .
We went on to Ubud for a few more days and we did say the hotel staff weren’t a patch on The Legian staff . Would definitely stay here again .",The Legian Seminyak Bali
1,Second stay at The Legian in 3 months - fantastic hotel!,40,May 2023,"It was our second time at The Legian in just 3 months. The F&B service level is very high, as well as the food quality. Overall the facilities are very good and the rooms are extremely cleaned and well sized.
There are however two points which they need to improve:
- opening gym hours: it closes at 7pm, which is unacceptable for a 5* hotel of this level (closing time should be around 10pm);
- there is no alignment between the accounting department and the concierge staff: in both trips they included in our final bill at check-out time the night charges which were fully paid at check-in time (as they asked us to pay as soon as we arrived at the hotel). I honestly do not understand how this has happened in 2 different occasions, as it is quite disappointing from a guest point of view.",The Legian Seminyak Bali
2,Seminyak private retreat,50,April 2023,"My first impression of this hotel is so fantastic. I walked around and realized all of the suites are ocean views, the interior is authentic of Bali. All of the interiors are symmetrical and I am pretty sure is timeless because I was informed that this hotel is exist since 1996. I watched the sunset in front of the room and be so beautiful.

The hotel felt so private and all of the staff was also really helpful. For sure I will back again to this hotel.",The Legian Seminyak Bali
3,Memorable Staycation in Seminyak,50,May 2022,"The Legian Seminyak, Bali is one of the best Hotel and Resort in all the island.
I use to stay here for holiday and the price you pay is worthed.

1. services, as a guest i feel treated a king in a small kingdom. they welcome you in a confortable lobby. staff are super friendly and helpful. management come to speak with you as friend.
2. attention to detail, everything in the room is perfect, lot of quality amneties (local high end brand), minibar full of complimentary drink (bintang my favorite). nespresso coffee machine with tanamera local capsule coffee.
candle, salt in bathub and complimentary cake always ready.
3. super big 110m room, enough for make party or stay with your family, the best ocean view (🤠)
4.excellent breakfast served at the pool. buffet + a la carte.
5. excellent gym powered by Technogym, Top Global Wellness Equipment, made in Italy.
6. triple infinity pool for your Instastory
7. privacy, nobody disturb you.

if you wanna stay in a super luxury location in Seminyak, go to The Legian Seminyak, Bali.

many thanks to Hans, all management and staff to make this staycation unique and memorable",The Legian Seminyak Bali
4,Amazing and Delightful,50,April 2023,"We had an incredible stay at The Legian. Hans and Rico should be very proud of their team who were so incredibly delightful. Everyone was friendly and welcoming, everyone knew our name and met us with a smile and everyone was happy to accommodate any request with minimum fuss. From the moment we were met at the airport until we dropped back at the airport, we could not have been happier. We're already planning our return trip(s), maybe one with our 2 children and another one just for us. THank you for a wonderful holiday!",The Legian Seminyak Bali
5,Wonderful welcoming staff- great drinks,50,April 2023,"We are staying elsewhere in Bali and decided to go to one of the popular beach clubs for early evening drinks /sunset in seminyak - it was noisy and we were told had no availability apart from a few uncomfortable looking spots
We decided to walk along the beach and then saw the legian - we asked if we could have a drink at the bar
What a wonderful warm welcome - impeccable service with genuine smiles
Great drinks and snacks and that view !
The manager was walking round chatting to guests including us and was just as welcoming when we said we had only popped in for a drink and were not residents
Thankyou for your hospitality",The Legian Seminyak Bali
6,Amazing stay - Easter holidays,50,April 2023,"The Legian Seminyak is amazing. My husband had never been to Bali previously and it took a bit on convincing to get him to go. Before we even checked out he asked when do we think we can come back.
From the moment we stepped out of our car we were greeted by our names and the staff already knew the names of our kids. We stayed in a 2 bedroom ground floor suite as a family of four (2 children 3 and 5 years old) following a few nights in Ubud. While the rooms feel slightly older, they are huge, immaculately clean and the service is impeccable. Serviced a couple of times a day at a time that suited us.
Food was wonderful including the Friday night seafood buffet. We didn't have a bad meal once and the food from the restaurant, pool bars and rooms service was all very good.
We both used the spa facilities and the treatments were fantastic and it was heavenly having a treatment room that faced the ocean.
Our children loved the kids club program that included gardening, cooking, jewelry and offering making. By the end of our trip the kids were leaving us at the pool and running over to the kids club where they would be greeted with outstretched arms. The staff were so good that we left our remaining local currency for the kids club staff as a token of our appreciation. They really helped us to be able to have a relaxing holiday.
The rooms could definitely do with a revamp at some stage however on balance with the world class the service, the great food, perfect ocean views and lovely pool and gardens, The Legian represents very good value when compared to other hotels. We were shocked at how reasonable the bill was on check out for how much we had consumed and enjoyed.
The location is also very good if you feel like shopping or strolling up the beach to other restaurants.
Following our week at the Semiyak we travelled to Singapore to stay in another 5 star global chain. The experience and service wasn't a patch on the Legian Seminyak.",The Legian Seminyak Bali
7,Perfection,50,April 2023,"From the very first moment you arrive, you can tell that this place is special. You will immediately realise why all the reviews are overwhelmingly positive. The hotel is private and the staff are very attentive - everyone seems to address you by your name from the get-go.

I cannot fault this place
There was not a single disappointing part of the hotel and the team were accomodating enough to let me use the hospitality sweet to freshen up before my 7pm flight out

Don’t think about it. Just book it",The Legian Seminyak Bali
8,5 star rating is just UNDERstated !,50,April 2023,"May not be the newest property but still very beautifully maintained, and the location is just superb as in front of the seminyak beach coastline. Highligthing here that we really felt very welcomed and at home during our stay, which we had never felt before in other luxury resort we had stayed in Bali. Believe that this is due to under the leadership of Hans, this resort does make a big difference. Cant thank you enough for your prompt assistance to solve the possible glitch during my reservation. Kudos. Wishing Hans and the LGM team the bestest wishes",The Legian Seminyak Bali
9,The best hotel in Bali.,50,April 2023,"Still the best hotel in Bali.
Service, location and ambience are all unbeatable!
The staff are all delightful and it’s wonderful to return to this hotel and always see familiar faces.
My simplest description of The Legian hotel Seminyak is ‘well defined luxury’.",The Legian Seminyak Bali
10,Perfect in every way…,50,March 2023,We stayed here for five nights and absolutely loved it.The Villa was just perfection we were so sad to leave.The whole team are absolutely wonderful and nothing is too much trouble.We stayed in the club which was so quiet and private.Gita our butler was wonderful and attentive.Highly recommend and we will for sure return.,The Legian Seminyak Bali
11,Best place in Bali,50,April 2023,"This place was fantastic. Everything from the rooms, staff, and the food. The place was very clean and organized. We received spa treatments and they were the best we had in years. This is highly recommended",The Legian Seminyak Bali
12,A proper 5 star hotel,50,April 2023,"First class service from the moment we were picked up at the airport!

We had an amazing time at The Legian. Family of 4 with teens (14 and 12) stayed for 6 nights and wished it had been longer!

From the moment we arrived, close to midnight, all the staff were brilliant, even welcoming us on first name basis when we arrived. We had arranged room service for our late arrival and the food arrived bang on time. The 2 bedroom suite was beautiful with a view of the beach and pools.

The spa was a highlight for me, the treatment and setting made it a real experience. Highly recommend.

Everything was brilliant, I wish I could remember the some of the stand out staff, but they were all so good it would be unfair.

When we come back to Bali we will re book and we will be recommending to friends and family.

Thank you for such an amazing stay",The Legian Seminyak Bali
13,The Legian - simply the best!,50,April 2023,"We just stayed at The Legian for 6 days over the Easter holiday.
It's my first time back in Bali after several years and I feel The Legian is even better as it was before. And it was already outstanding some years ago!
It's been a wonderful experience from the arrival all the way to the departure. The smiles which greet you every day are just amazing. The Legian team does an amazing job for whatever it touches. The Restaurant served great meals throughout the day in excellent quality. The restaurant team did an amazing service, highly skilled with authentic smiles no matter how busy the place was during the Easter days.
The poolside / beach front bar is another highlight, especially during the sunset time which is absolutely magical from that viewpoint.
We booked serval spa treatments and again it's been wonderful.
What we noticed very quickly after our arrival is that almost no plastic is being used throughout the hotel which is such a rare sight in many other hotels. Also, most of the food ingredients are locally sourced.
All in all, The Legian made our Bali holiday a fantastic one and we shall be back for sure rather sooner than later.
It's an amazing property with its mature gardens and the ocean view along with the beach are just perfection.
But what makes all of this so special is the people who work at The Legian and shine day in day out.",The Legian Seminyak Bali
