,title,rating,date_of_stay,review,resort_name
0,Amazing day!,50,May 2023,"We would like to thanks for the best hospitality and making our day so special! We didn't stay in the hotel but walking trough the beach we saw your amazing bar and pool area and we just wanted to stay there for a bit longer. Food was amazing, cocktails also super nice! And don't forget to take one shish-a which is very good here! We don't know the name of the guy who offered this to us but he was very friendly and helpful as well. And of course special thanks to Epi and Dwi, u guys are just amazing! Thanks a lot!!!!!🙏🏻❤️",The Seminyak Beach Resort & Spa
1,All I can say is wow!,50,May 2023,"Spent 2 nights here to treat myself during a Bali holiday. Was absolutely fantastic! Warm and friendly staff who upgraded me on arrival which was a lovely touch. I had breakfast, lunch and dinner and all the food was delicious, especially the Salmon Poke bowl. The room was spacious, modern, clean and luxurious with a terrace onto the beautiful garden area. The outdoor space was phenomenal, the pool area was breathtaking with an infinity pool overlooking the beach and waiter service to your sunbeds. There was also lots of different areas to hang out in lle the swim up bar, outdoor restaurant and little covered lounging areas in the garden. I also enjoyed an amazing massage at the spa which was one of the best I've had in the most picturesque surroundings. A big thank you to Akram who got me the upgrade but also managed to rescue my missing card which im very grateful for. So helpful and friendly and willing to go the extra mile for guests. Overall amazing stay, wish I could be here longer!!",The Seminyak Beach Resort & Spa
2,"Great spot, recommend it",50,May 2023,"Wayan and Tari gave my wife and I he best service, making us feel relaxed and happy.

The venue has great views, relaxed vibes and the staff attend to your every need.

If you're looking for a great time in Seminyak, you have to check this place out.",The Seminyak Beach Resort & Spa
3,Beautiful day at infinity beach club.,50,May 2023,"The infinity beach club was absolutely stunning. Beach front views and a beautiful infinity pool. The food and drinks were great.
Highly underrated. Wayan and Tari were very helpful and kind hosts. They made sure we had everything we needed for the day.",The Seminyak Beach Resort & Spa
4,Lovely beach resort,50,May 2023,"The beach club is very lovely, beautiful surrounding with a nice view to the sea. Drinks, food and delicious cocktails.

We were served, at our beds, by Wayan, who was very good and attentive.

Would definitely recommend this place.",The Seminyak Beach Resort & Spa
5,Paradise at The Seminyak Beach Resort,50,May 2023,"This beautiful place offers amazing views, pool side and views. They offer a great selection of drinks and food. The pool area is very calming and relaxing with perfect views and a lot of comfortable place to relax.

We were greeted by amazing customer relations officer Lestari who offered us very great service and care for her customers.

We surely recons this place for a relaxing beach day!",The Seminyak Beach Resort & Spa
6,Treat!,50,May 2023,"The day pass was fantastic! Wayan, Soni and Retna were lovely and provided a great pool service! As it was the last day and we had a flight, they also let us use the spa showers to get ready! The infinity pool was just spectacular. This is a great place to have a nice relaxing day by the pool and beach.",The Seminyak Beach Resort & Spa
7,Bali at its best,50,April 2023,"If you like hospitality, this is the place to be. Fantastic rooms, comfortable, spacious and quiet. Relax by the pool and have a cocktail at the quiet pool bar. Dwi is an amazing personality who will take care of your food and drink needs. We will be back.",The Seminyak Beach Resort & Spa
8,"A must visit for views, sunset, 2-for-1 cocktails and 5-star service!",50,May 2023,"We weren't staying at the Seminyak Resort but decided to visit as guests and it certainly did not disappoint! It was the perfect reward after winding our way through the streets of Seminyak. The view is spectacular, the sunset incredible and the service excellent. Special mention to Wayan who looked after us!",The Seminyak Beach Resort & Spa
9,Extraordinary,50,May 2023,"Amazing stay with my wife! She loved it we love the experience and the hospitality. I truly recommend all couples to stay here if they travelling to seminyak

Good pool, with delicious food. Had dinner by the beach with reasonable price",The Seminyak Beach Resort & Spa
10,"Thank you to Resta, Rita & wayan at the infinity pool!",50,May 2023,"Our pass day in the Seminyak resort beach allowed us to enjoy the infinity pool and have few cocktails. The amazing staff at the pool, especially Resta, Wayan & Rita were amazing with us! If you go there I would recommend to deal with them for your stay. They were so nice and helpful.",The Seminyak Beach Resort & Spa
11,Bali Honeymoon,50,May 2023,"Bali was beautiful. Truly an experience!! The seminyak beach resort and spa was lovely. Akram & Nika were the best. They were both so attentive, professional, and kind. The hotel’s service was extraordinary and the staff were amazing. Highly recommended.",The Seminyak Beach Resort & Spa
12,The best hotel in Seminyak in Bali. Like our home in Bali,50,May 2023,"We are a frequent customer of The Seminyak. Simply in love with the settings,the atmosphere and the vibes. the hotel is perfectly situated on a very strategic position. We have walking along the Seminyak and found this hotel has the best infinity pool. Very enjoyable and relaxing. The garden setting is perfect, the room clean, well-maintained and modern balinese style. also a special shout out to Epi, Jaya & Retna. They perform the best customer service. We will be coming back again for sure. Thank you",The Seminyak Beach Resort & Spa
13,The Nicest Infinity Pool in Seminyak,50,April 2023,"This is our 3rd visit at this hotel. We love this hotel and the beach. Their infinity pool is really nice. It's right next to the beach. It's right in the heart of Seminyak. You can walk out to find restaurants, bars, and shops.

They paid attention to details. They arranged the cake for my husband's birthday without our request. Staff named Happy arranged for that.

At the pool, Jaya was also very friendly and helpful. Retna was also very helpful.

They have a good gym with good equipments. They also provide sunrise yoga at 7.00 AM which is included. It's next to the beach which is amazing.

The only complaint is about the maintenace of the pool. The tiles needs to get fixed.

Still love to come back to this hotel.

Staff:5/5
Location:5/5
Hospitality:5/5",The Seminyak Beach Resort & Spa
14,Perfect way to spend the day in seminyak.,50,May 2023,"Everything was perfect. Very personable staff, location was beautiful and the beach club was super welcoming. Very clean and the pool was lovely. I would definitely recommend this place to anyone who is looking for a quiet and peaceful beach club.",The Seminyak Beach Resort & Spa
15,Awsome,50,May 2023,"The experience over here is amazing. The staff here is very cooperative and friendly. We get the food as per our choice as well. We even get no egg food on demand.
The room is also very spacious and cozy and with a beautiful view.",The Seminyak Beach Resort & Spa
16,An amazing beach club with really nice waters!,50,May 2023,"Wayan is some of the nicest guys I have ever met. He was a great waiter. We had a great time at this beach club! I have a peanut allergy, and Wayan always puts safety first and makes sure my order was totally peanut free. I would really recommend this place if you want to have a nice time and an amazing swimming pool.",The Seminyak Beach Resort & Spa
17,Fenominal time here,50,May 2023,Verry friendly walters and a butiful place and friendly People in the service. The swimingpool is perfect whith sunset and the temperatuur is perfect. We wil recommend this place to everyboday if you want to have a good time at Bali,The Seminyak Beach Resort & Spa
18,"Thanks Pleno, Soni and Resta!",50,May 2023,"It was awesome, we had a great time. Amazing personnel and greatest waiters ever. Helped us with eveything we needed. Beautiful swimming pool. we would absolutely recommend this place to everyone.

thanks Wayan, Soni and Resta!",The Seminyak Beach Resort & Spa
19,Absolutely great,50,May 2023,"This place is an absolute must go! The pool is amazing, has the perfect temperature and is very clean. The pool and the whole place is very instagrammable and photogenic too. The personnel is very very kind. Thanks Wayan!",The Seminyak Beach Resort & Spa
20,Amazing infinity pool and sunset,50,May 2023,"Enjoying our days at infinity beach club, very pleasant and relaxing, good meals and cocktails. With amazing views from the sun beds. Our teenage son and daughter love the ambience, not so many kids in the resort. It is perfect for couples, family with young teenagers. The staff are also very accommodating. Lovely stay.",The Seminyak Beach Resort & Spa
21,Nice,50,May 2023,"An amazing stay, amazing views! lestari and putti service was very good. A lot of options on the menu and beautiful building and very clean, the pool was great and so were the gardens! Easy access to the beach just walk down some steps and you’re there!",The Seminyak Beach Resort & Spa
22,Our favorite in Seminyak,50,April 2023,"Our regular hotel when visiting Seminyak, we love the traditional style, the service is amazing, so friendly and helpful, and a quick walk along the beach to our favorite restaurants. Can’t wait to return!",The Seminyak Beach Resort & Spa
23,Awesome stay,50,May 2023,Our stay at the Seminyak was amazing with great views ! Our room was absolutely incredible! The staff was very friendly and attentive. The spa services were outstanding. I would highly recommend!. The drinks and poolside service is a must!,The Seminyak Beach Resort & Spa
24,"The Seminyak is a beautiful, friendly and attentive Hotel",50,May 2023,"My partner brought me to the Seminyak Hotel and Spa for my 50th birthday. It was absolutely amazing from start to finish.
The hotel is so beautifully set out. We had the Sunset room with a jacuzzi bath overlooking the sea, it was breathtaking.
The staff are so friendly, they literally can’t do enough for you!
Our restaurant waitresses Trisna and Niki were so sweet and attentive.
Akram and Ema were incredibly helpful on advising us on where to visit.
Dedi (The Rock) made us extremely welcome and made sure our needs were met, especially as my partner arranged a surprise meal in the pavilion for my 50th birthday with our lovely waiter Dwi.
We’ve had the most wonderful experience at The Seminyak Hotel and I highly recommend it for couples.
We’ll definitely visit again 🫶🏻",The Seminyak Beach Resort & Spa
25,An amazing place to stay 🌟🌟🌟🌟🌟,50,May 2023,"I've been lucky enough to stay in many places around the world, and this by far is the nicest, most loveliest hotel I've been too.
The Sunset room (which had a jacuzzi) was huge, the bathroom with twin basins and balcony with sea views was awesome.
The hotel has a lovely relaxed feel about it (and doesn't feel stuffy) the grounds and gardens have been laid out beautifully and the 2 pools are really nice.
The beach is great and is directly in front of the pool. It's such a chilled out place set in beautiful grounds.
A special mention to the staff (especially Dedi, Emma, Trisna, Nika, Akram, Dwi) but they are so friendly, extremely welcoming and make the stay all the more memorable. Really lovely people.
I can't recommend this place enough, you will not be disappointed.",The Seminyak Beach Resort & Spa
26,Dinner proposal,50,April 2023,Dedi and his staff made it a night to remember by opening the outdoor restaurant immediately after a storm passed through. He also opened the indoor viewing deck where I proposed to my partner. All without fuss or question. Hoping to stay here next time round,The Seminyak Beach Resort & Spa
27,piece of heaven in Seminyak,50,November 2022,"the resort extremly recomended for family, couple, wedding. the resort is facing to the beach. from restaurant, we can enjoy sunset.
price was good.
staff was helpfull, and we are greet by the sales team also.
shout out to Ibu tanti and Pak Mardi from ecommerce, they are very kind, friendly and helpful.",The Seminyak Beach Resort & Spa
28,Beautiful relaxing hotel,50,April 2023,"Friendly and helpful personnels, comfortable cozy and spacious room with amazing view of the ocean, great buffet breakfast with an array of international and local delicacies, and beautiful pool and garden area. The location of the hotel is also perfect, nearby many restaurants and shopping areas. We had a great stay here :)",The Seminyak Beach Resort & Spa
29,Lola,50,April 2023,"I did really enjoyed. My flt is early morning and they allowed me to use their lounge while waiting. Staff are very courteous. Akram was very helpful and accomodating. He even lend me cp charger. Our room is wonderful, nice pool and beach.",The Seminyak Beach Resort & Spa
30,Recommended hotel,50,April 2023,Me and my family was visiting the Seminyak beach resort and spa last week. This place is perfect for family and kids. they staff were looking after us in good way. The food was good. Recommend hotel in Seminyak Bali,The Seminyak Beach Resort & Spa
31,Best,50,April 2023,We stayed at this hotel for the first time. The hotel was a bit old but still really good. 10/10 from the staff service. Food as was delicous and joined a balinise dinner with special performances was interesting to see. Will defenetly come back again for sure,The Seminyak Beach Resort & Spa
32,Pleasant stay,50,April 2023,The service are the best you can get in bali. The room are very pleasant and very comfortable. The breakfast amazing with many options and friendly staff. The pool is breathtaking and very sophisticated.,The Seminyak Beach Resort & Spa
33,The Seminyak Beach Resort is the best,50,April 2023,"The hotel provides everything we need , with the extra mile service. The staff at breakfast they always call you by your name. The food was amazing, and plenty selection as well. The pool was the best i've ever been.",The Seminyak Beach Resort & Spa
34,Amazing service and view,50,April 2023,"The room is clean, the service is top notch and the beach view is a perfect cherry on top. The bedding was spotless, the maid came in and clean everyday very thoroughly. The pool is huge and if you are a swimmer, their swimming pool is out of this world.",The Seminyak Beach Resort & Spa
35,Sad to leave,50,April 2023,Love staying at Seminyak Beach Resort. Staff amazing and all our needs were taken care of. Outstanding with supporting my gluten free needs and we were so all looked after. Our second stay here and we look forward to a third stay.,The Seminyak Beach Resort & Spa
36,10/10,50,April 2023,We would like to say this is the best hotel we've ever visited so far in Bal. We were impressed & amazed from the very first moment we arrived. The long beach is so clean. Staff is very friendly & their service was exceptional. We stayed in Suite jacuzzi for 2 nights. The view from the room was stunning. You’d better come & experience this yourself. We'll plan a trip back here sometime soon.,The Seminyak Beach Resort & Spa
37,A wonderful stay at The Seminyak Beach Resort and Spa,50,April 2023,A wonderful stay at the Seminyak beach resort and spa. The hotel has a unique concept. Flowers in every corner of the building and had nice smell of incense the atmosphere is very cool. Nice and clean hotel room. Especially the view overlooking Seminyak beach with beautiful sunset.,The Seminyak Beach Resort & Spa
38,Best bussiness visit,50,April 2023,"All the staff at the seminyak were super friendly and polite to us. We were coming for visit only but they welcomed us super warm, gave us welcome drink and ect. The interior building was uniqe and beautiful. Recomended service",The Seminyak Beach Resort & Spa
39,perfect staying in bali,50,April 2023,perfect place in bali . I really enjoyed staying here . kind staff and good mornig buffet. also easy to go to center of seminyyak. highly recommend to couples who want to visit bali . will visit here again if i come bali,The Seminyak Beach Resort & Spa
