,title,rating,date_of_stay,review,resort_name
0,Great experience at U Paasha Bali,50,April 2023,"Lovely stay , very convenient location for shopping and eating , 10 mins walking to the beach . Breakfast was superb , stuffs are very attentive .
Rooms are very big with big washroom. Our room view wasn’t that great but I didn’t mind that.
Rooftop swimming pool is big and relaxing . There is a rooftop bar as well where you can order . I mean this is one of the best hotels in that area hands down.",U Paasha Seminyak
1,"Friendly staff, buffet breakfast had a good variety of options. Rooms are big but decor is outdated, like the pool.",30,April 2023,"Good location, value is reasonable. Selling point is the late check out. Staff are friendly and polite. Buffet breakfast has a decent selection of offerings. Rooms are big, however the decor is old and the rooftop pool is showing signs of age.",U Paasha Seminyak
2,Excellent place,50,April 2023,"The hotel is generally excellent. The room size is very good and the breakfast is varied. The swimming pool is distinct and the view is wonderful... The hotel staff is cooperative and distinguished, especially at the times of entry and final exit (check up). Only attention is lacking in a place for massage and halal food for Muslims ay breakfast",U Paasha Seminyak
3,Recommend,40,April 2023,"Spacious room and bathroom, good breakfast, big rooftop pool, lovely staff. Close to everything. Check in was easy. Scooter higher was easy and affordable through the hotel. Recommend staying here for convenience.",U Paasha Seminyak
4,Very good location hotel in Seminyak.,50,April 2023,The hotel staffs were extremely helpful and friendly. Rooms are very well maintained and properly cleaned everyday. Hotel’s breakfast is fairly prepared and fresh coffee were served. Swimkingpooling is very large nd cleaned.,U Paasha Seminyak
5,Top hotel for price,50,April 2023,For us everything at this hotel was spot on. The bed especially was better then my home and room was super quiet. Great sleep. Breakfast suited our needs and the staff were all very helpful. Location is great as well,U Paasha Seminyak
6,"Safe, Clean, Friendly",50,April 2023,"A perfect place to land after arriving in Bali. The room we stayed in had a huge, comfortable king size bed that was perfectly cozy after a long flight. The bathroom sink had nice counter space and we liked that the toilet was separated from the shower. If you want them to service the room daily you get two free water bottles each time which was much appreciated. The rooftop pool was very relaxing and the service team was there to bring you drinks.
The staff is incredible, Welfry and Alin in particular were so helpful and courteous during our stay. Thanks to them and the team we felt completely safe and at ease during our four nights here.
Also, the breakfast is out of this world. I’ve never seen so many options for a hotel breakfast buffet. I’d stay again just for that alone.
Thank you to all the staff at U Paasha. I highly recommend this hotel to anyone staying in Seminyak.",U Paasha Seminyak
7,A comfortable stay.,50,April 2023,My wife and I stayed at U Paasha Seminyak for 3 nights. The room was spacious and clean. Staff were friendly and helpful. A staff member Maychel who on our request in a late evening efficiently arranged breakfast boxes for our use at 5:45 am the following day. He also provided timely and practical advice on local transport matters.,U Paasha Seminyak
8,pleasant stay,50,April 2023,"Thank you so much for the pleasant stay!
The breakfast was very diverse and delicious!
On the roof top there is a pool where the kids had a lot of fun!

Special thanks to Andy who supported me a lot during my working night shifts!! 5 Stars to him :) and many tanks

Best,
Stephan",U Paasha Seminyak
9,Love this place,50,March 2023,"Friendly helpful staff, modern spacious rooms, beautiful rooftop pool and bar, gym, amazing breakfast, great location. Also they have 24 hours check in check out, so I didn't need to check out of my room until 8pm as that's when I checked in. LIFESAVER!! Also the room service menu is super yummy!! Love this place, have stayed here before and will stay again!",U Paasha Seminyak
10,Happy traveler,50,February 2023,"This hotel very central in Seminyak , at first I thought it would be noisy but it wasn’t we asked for a room down the back didn’t hear a thing. Buffet breakfast so healthy and a fully catered Gym which was great for me .been travelling to Bali for over 30years and I would stay there again .",U Paasha Seminyak
11,Very happy couple,50,March 2023,"Recommend highly to all those who want to stay in the heart of Seminyak, locality was excellent, restaurants and shopping on your doorstep. Hotel included a gym which was important to us and also a buffet breakfast daily. No complaints at all.",U Paasha Seminyak
12,Amazing Staff,50,March 2023,"Great spacious rooms, well maintained, clean, excellent beds. Service on point. Breakfast buffet phenomenal. And the staff well, there was never a moment a staff member said ‘no’ to any reasonable request I had. Most enjoyable stay in a very long time. Thank you team upaasha.",U Paasha Seminyak
13,"Great location, spacious room and great breakfast",50,March 2023,"We had a very pleasant stay, lovely personable service and the hotel is close to our favourite restaurants, Bambu, Batik and Ginger Moon. A plus was parking for our car and the size of the room and bathroom",U Paasha Seminyak
14,Excellent hotel,50,March 2023,"Good location, very comfortable rooms and showers. Very nice rooftop swimming pool with volcán view .the service is the best ! For sure I will repeat it! Breakfast is ok . I love Indonesian food . Recommended!",U Paasha Seminyak
15,Great experience,50,March 2023,Only stayed for one night but had a lovely experience. Room was spacious and clean and we could check in anytime which made things much easier. Lovely staff and great location. Would highly recommend,U Paasha Seminyak
